"";"*gr_01";"*gr_02"
"participação";2;77
"louco";8;26
"italiano";2;42
"terminal";1;9
"controlo";4;68
"razoável";1;18
"iniciar";7;45
"diálogo";16;106
"decretar";6;30
"praticamente";8;20
"congressista";1;9
"normalmente";2;10
"instituição";13;111
"pequeno";7;59
"incidente";0;12
"inferior";2;12
"foco";3;24
"inicial";0;26
"perder";33;113
"noite";23;103
"kátia";3;9
"inovação";1;10
"mineração";0;16
"ligar";8;64
"ensino";2;13
"michel";8;14
"sindical";0;40
"erro";0;45
"aposentado";9;16
"forma";13;296
"randolfe";9;10
"valério";1;9
"citado";19;53
"penalidade";1;10
"sergio";3;7
"emprestar";0;14
"perda";3;45
"remédio";6;11
"james";3;11
"desde";29;305
"citar";29;164
"ei";0;15
"armado";12;60
"mulher";7;146
"eu";106;922
"glauco";0;36
"fracassado";4;6
"precisar";40;276
"laus";1;13
"publicamente";1;19
"caro";11;29
"carl";27;21
"cara";18;72
"cópia";1;16
"tomahawk";9;11
"surpreendente";2;9
"mello";3;48
"altitude";4;8
"xi";16;37
"ensaio";0;10
"comissão";9;118
"provisório";1;61
"tocantins";0;13
"coletivo";6;51
"vergonha";7;12
"comandante";6;16
"ocidente";0;31
"procuradora_geral";0;18
"qual";26;417
"japão";31;89
"ocasião";4;73
"católico";1;11
"reação";7;32
"hamburgo";5;16
"comentário";10;45
"burocracia";0;11
"delegado";6;63
"jardim";3;22
"ganho";1;14
"objectivo";20;127
"quadrilha";2;13
"deus";13;28
"santiago";2;12
"intuito";3;10
"alagoas";1;9
"disputar";2;41
"graça";5;23
"chefia";0;17
"verde";0;15
"fracasso";2;12
"aprofundar";2;10
"colombo";0;13
"teori";12;65
"ex_tesoureiro";2;14
"fornecimento";1;12
"recentemente";4;45
"vetar";0;12
"apreensão";5;55
"internacional";11;177
"acelerar";0;13
"guardian";2;14
"telefone";5;29
"confiar";9;26
"proferido";1;19
"ressaltar";21;81
"requião";4;18
"hostil";2;15
"improvável";2;8
"doutrina";1;9
"cristiano";3;37
"contar";51;352
"noção";0;11
"3";39;204
"estar";503;2277
"manifestar";11;106
"ex_diretor";5;36
"aposentar";5;10
"ambiente";2;48
"seguido";3;18
"desafiar";6;17
"comer";5;8
"ricardo";23;74
"impedimento";3;8
"característica";1;16
"alves";6;50
"denunciar";16;93
"restringir";7;19
"seguida";5;41
"editorial";0;14
"disparo";0;14
"habitante";6;24
"pretensão";1;10
"licitação";3;25
"consulta";1;14
"inserir";0;10
"conseguir";29;235
"etc";6;7
"consequência";6;67
"psc_rj";0;11
"aprovado";0;17
"andamento";3;31
"petrolão";2;13
"ccj";6;16
"severo";0;13
"taxa";2;51
"rigoroso";1;12
"soltura";0;13
"exceção";2;17
"racismo";0;19
"real";32;71
"psl";0;10
"psb";1;22
"lado";21;150
"psd";2;30
"alerta";19;26
"dito";8;67
"usina";0;10
"fortuna";6;8
"voar";5;12
"maluf";2;11
"máximo";8;39
"verbal";2;11
"enfim";13;15
"pronunciar";5;33
"desarmamento";0;11
"sítio";11;41
"espúrio";0;10
"apreender";2;34
"cálculo";1;16
"relembrar";2;23
"virar";8;36
"falcão";0;10
"raul";2;11
"chefe";21;126
"2007";2;24
"ocupar";10;69
"miranda";0;13
"aloizio";0;12
"protesto";5;67
"transformar";7;46
"condenatório";3;8
"autoritário";0;11
"reagir";8;38
"punir";7;38
"julgar";17;98
"interpretação";0;22
"melhoria";0;13
"batista";39;222
"apontado";0;19
"600";4;12
"fugir";4;18
"mover";7;19
"sexta_feira";5;106
"previdência";10;132
"rígido";1;9
"juiz";93;452
"missão";2;24
"cooperar";0;10
"sobretudo";1;26
"intercontinental";5;30
"eduardo";46;209
"registro";5;61
"sucesso";8;47
"unânime";1;10
"cidadão";43;84
"estruturado";2;15
"fiscal";14;100
"contribuição";1;34
"famoso";10;15
"gerenciar";0;14
"correr";18;31
"leite";2;13
"acumular";4;13
"inquérito";7;154
"desigualdade";0;10
"cientista";3;22
"comercial";1;51
"unanimidade";0;17
"respeitado";2;13
"coordenador";7;15
"mundial";38;91
"música";0;13
"independência";2;23
"narrar";2;13
"tradicional";0;14
"roraima";1;9
"distância";13;11
"sistêmico";6;12
"almada";0;10
"governador";9;150
"pobreza";0;15
"nível";6;49
"comunicar";6;23
"homologar";2;30
"senado";41;209
"argumentar";6;55
"sobrinho";0;11
"movimentar";6;11
"roupa";3;10
"embaixador";15;37
"trf_4";5;78
"khan";0;14
"assessor";3;56
"andréia";0;14
"documental";1;20
"recomendação";0;10
"ser";1205;7973
"rotina";2;14
"margem";0;16
"retomar";6;24
"botar";4;26
"maioria";6;75
"ft";0;16
"a";2735;20269
"convencer";6;22
"mouro";14;71
"confirmação";2;14
"pezão";1;24
"balear";2;11
"icbm";10;13
"iraque";5;9
"demorar";0;26
"aliança";4;29
"levantamento";2;16
"cem";1;12
"polícia";53;346
"embasar";0;14
"haley";2;16
"cerimônia";1;31
"todo";156;864
"7";17;94
"base";22;231
"novamente";15;30
"guimarães";1;29
"suficiente";8;60
"aguardar";12;50
"assembleia";0;32
"anseio";2;8
"admitir";15;49
"recente";10;48
"calendário";0;13
"brasília";31;160
"metáfora";0;11
"norma";1;41
"país";196;948
"stf";84;625
"fevereiro";3;77
"stj";11;56
"disponibilizar";1;9
"internação";3;7
"revelação";4;19
"incompatível";2;11
"absolvição";1;26
"qualidade";7;37
"fraude";3;25
"esclarecimento";1;33
"teixeira";6;51
"desafio";1;31
"g20";8;26
"minha";27;148
"aproximar";3;19
"direcionar";5;11
"setor";11;134
"certo";13;102
"leandro";1;17
"discursar";4;19
"quem";58;347
"sobreviver";3;9
"oceânico";0;10
"correio";5;7
"cogitar";8;22
"provavelmente";15;34
"hipótese";5;37
"examinar";1;12
"religioso";1;12
"chão";4;8
"cultura";6;57
"relatório";11;60
"lava_jato";91;674
"telefonema";2;9
"deltan";6;22
"indenização";5;22
"eleitoral";19;233
"parecer";18;160
"morador";5;45
"questionamento";0;19
"errar";8;19
"164_a";1;12
"secreto";6;21
"aeronave";6;47
"senador";103;409
"pretexto";1;10
"friboi";28;11
"pessoal";9;62
"arsenal";2;22
"geddel";8;60
"chegar";60;325
"denúncia";23;289
"otan";1;11
"desnuclearização";1;12
"alto";19;98
"temor";3;13
"ditador";29;13
"deter";4;33
"reduzir";5;63
"inflação";1;15
"guido";9;43
"luciano";2;16
"acolher";1;18
"premiar";24;155
"saúde";5;92
"nós";17;312
"procuradoria_geral";3;44
"autorizar";18;109
"censura";3;7
"construção";4;46
"000";18;14
"escolha";2;41
"residir";5;6
"trabalhador";5;80
"resolver";24;76
"ocupado";2;22
"apresentar";21;264
"nikki";1;12
"barack";0;19
"informar";61;248
