"";"X.gr_01";"X.gr_02"
"hash";-0,4659;0,4659
"agressividade";-0,1864;0,1864
"social";3,9054;-3,9054
"via";-0,3259;0,3259
"vir";-0,4124;0,4124
"horário";0,3724;-0,3724
"reunião";-0,1611;0,1611
"silva";-0,5815;0,5815
"obrigar";-0,2964;0,2964
"diferente";-1,1847;1,1847
"6";-0,418;0,418
"visão";-0,4659;0,4659
"ponte";0,4122;-0,4122
"ponto";-3,1225;3,1225
"impacto";-0,7921;0,7921
"facção";-0,4659;0,4659
"não";0,455;-0,455
"plano";-0,6154;0,6154
"fundamental";-0,5815;0,5815
"francês";-1,2115;1,2115
"papel";0,2999;-0,2999
"passagem";-0,5591;0,5591
"buscar";-0,8387;0,8387
"parceria";-0,8387;0,8387
"subir";-0,2397;0,2397
"fossar";-0,7193;0,7193
"nossa";-1,3118;1,3118
"nosso";1,054;-1,054
"armamento";-0,5125;0,5125
"influenciar";0,3724;-0,3724
"aprovar";-0,6523;0,6523
"divulgar";2,1604;-2,1604
"avenida";-1,4445;1,4445
"nome";-1,1211;1,1211
"contra";1,6643;-1,6643
"talvez";-0,6497;0,6497
"indústria";0,5677;-0,5677
"birri";-1,1649;1,1649
"revelar";1,6288;-1,6288
"tentar";0,8166;-0,8166
"sentar";-0,418;0,418
"defender";-0,3022;0,3022
"autista";-0,7455;0,7455
"assumir";-0,2397;0,2397
"córrego";-1,1183;1,1183
"seu";1,2031;-1,2031
"ser";-0,6854;0,6854
"supermercado";-0,2397;0,2397
"sem";-0,4006;0,4006
"ninguém";0,7782;-0,7782
"pagar";-1,0088;1,0088
"europa";1,1356;-1,1356
"agente";-0,3494;0,3494
"belo";-1,0717;1,0717
"interessante";-0,5125;0,5125
"imaginar";-0,7921;0,7921
"dizer";4,023;-4,023
"conjunto";-0,6057;0,6057
"guardar";-0,137;0,137
"formato";-0,6057;0,6057
"impedir";-0,2677;0,2677
"geralmente";-0,137;0,137
"livro_razão";-0,4659;0,4659
"moto";1,0454;-1,0454
"voz";-0,137;0,137
"campanha";-0,2964;0,2964
"próprio";0,3987;-0,3987
"doar";1,7069;-1,7069
"vargas";1,0613;-1,0613
"euro";0,2523;-0,2523
"conversar";0,3237;-0,3237
"passageiro";3,9561;-3,9561
"ajudar";-0,3627;0,3627
"tomar";0,7055;-0,7055
"tragédia";-0,2964;0,2964
"demanda";-0,5591;0,5591
"d";0,5677;-0,5677
"alexandra";-0,7455;0,7455
"alexandre";-0,2964;0,2964
"memória";-0,4659;0,4659
"aquele";-0,4205;0,4205
"aquela";-1,6775;1,6775
"transtorno";-0,5125;0,5125
"emocionar";1,8673;-1,8673
"idade";1,526;-1,526
"jornal";2,8896;-2,8896
"jeito";-0,6057;0,6057
"anterior";-0,6057;0,6057
"dois";-0,603;0,603
"integrar";-0,5125;0,5125
"terrorista";-1,3513;1,3513
"estabelecer";-0,4659;0,4659
"escolher";0,3371;-0,3371
"ator";9,4094;-9,4094
"região";-3,2158;3,2158
"up";-0,6523;0,6523
"um";1,6744;-1,6744
"salário";-0,4497;0,4497
"estilo";0,5608;-0,5608
"diverso";1,5651;-1,5651
"imprensa";0,7989;-0,7989
"pagamento";-0,6989;0,6989
"elemento";-0,7921;0,7921
"ataque";-0,7617;0,7617
"extremamente";-0,6057;0,6057
"filósofo";1,5667;-1,5667
"roubar";0,4414;-0,4414
"leonardo";-0,6989;0,6989
"difícil";0,5409;-0,5409
"camada";-0,5591;0,5591
"lei";-0,2263;0,2263
"ler";2,3572;-2,3572
"atrair";-0,6523;0,6523
"oficial";0,8248;-0,8248
"agência";-0,482;0,482
"causar";1,526;-1,526
"londres";0,9846;-0,9846
"menina";0,5691;-0,5691
"menino";0,5174;-0,5174
"período";-0,1951;0,1951
"cliente";0,2575;-0,2575
"roda";0,5677;-0,5677
"quilômetro";-0,7921;0,7921
"estudar";-0,3494;0,3494
"associação";-0,137;0,137
"animal";0,5677;-0,5677
"capacidade";-0,5479;0,5479
"pergunta";-0,4659;0,4659
"especial";-0,6844;0,6844
"isso";-1,4404;1,4404
"classe";-0,2126;0,2126
"contato";-0,3867;0,3867
"méxico";-0,5125;0,5125
"volta";-0,3988;0,3988
"econômico";-0,2795;0,2795
"2018";-0,5591;0,5591
"2015";0,5409;-0,5409
"2014";0,4122;-0,4122
"2016";0,3296;-0,3296
"empatia";-0,6523;0,6523
"2010";0,5087;-0,5087
"2013";1,0613;-1,0613
"2012";0,6091;-0,6091
"nada";1,6762;-1,6762
"gritar";0,4122;-0,4122
"veículo";0,4143;-0,4143
"bar";-0,2126;0,2126
"importante";-2,1476;2,1476
"comprar";-0,5147;0,5147
"contrário";0,2523;-0,2523
"caminhão";0,8564;-0,8564
"além";-0,6084;0,6084
"hídrico";-1,1183;1,1183
"tempo";-0,4602;0,4602
"cuidado";1,332;-1,332
"david";-0,5125;0,5125
"festival";-0,6989;0,6989
"guerra";-0,6497;0,6497
"haver";-0,4438;0,4438
"modalidade";-0,6057;0,6057
"criminoso";-0,5815;0,5815
"roberto";0,3776;-0,3776
"legislação";-0,4659;0,4659
"exército";0,5174;-0,5174
"documento";0,2523;-0,2523
"serviço";0,4885;-0,4885
"trás";1,332;-1,332
"marcar";-0,4497;0,4497
"principal";-0,3083;0,3083
"terminar";-0,4497;0,4497
"tudo";1,0978;-1,0978
"familiar";-1,7241;1,7241
"autor";-0,9718;0,9718
"perdido";-0,5125;0,5125
"parque";-1,0251;1,0251
"posse";-0,4659;0,4659
"confirmar";2,4794;-2,4794
"vídeo";5,0608;-5,0608
"etc";2,3314;-2,3314
"mínimo";-1,3513;1,3513
"equipa";-1,3118;1,3118
"2017";0,3782;-0,3782
"site";3,4382;-3,4382
"romance";-0,5591;0,5591
"manancial";-0,6523;0,6523
"momento";0,378;-0,378
"rcifrão";-2,2848;2,2848
"nacional";-1,0354;1,0354
"através";4,6783;-4,6783
"usuário";-0,8387;0,8387
"crise";-1,0717;1,0717
"análise";-0,8853;0,8853
"sábado";-0,2677;0,2677
"frança";-0,9785;0,9785
"pernambuco";0,3057;-0,3057
"edição";0,5677;-0,5677
"banco";-1,3513;1,3513
"dezembro";-0,3259;0,3259
"lidar";-1,3047;1,3047
"decreto";0,4573;-0,4573
"fiscal";1,6258;-1,6258
"abastecimento";-0,4659;0,4659
"alegar";2,0655;-2,0655
"transporte";-0,1864;0,1864
"sambar";-0,5591;0,5591
"colega";1,7398;-1,7398
"tão";0,2602;-0,2602
"coisa";0,6425;-0,6425
"quarto";-0,4322;0,4322
"rural";-0,356;0,356
"aeroporto";2,0039;-2,0039
"retirar";0,4777;-0,4777
"afirmar";0,4654;-0,4654
"quadrado";-0,9319;0,9319
"exibir";-0,1758;0,1758
"fogo";1,7398;-1,7398
"hora";-0,5904;0,5904
"interno";4,42;-4,42
"total";-0,3867;0,3867
"continuar";-0,5033;0,5033
"custo";-0,7455;0,7455
"jornalista";1,2299;-1,2299
"ordem";-0,7455;0,7455
"passado";-1,5849;1,5849
"neto";0,4103;-0,4103
"sensação";-0,137;0,137
"teatro";-0,356;0,356
"proteção";-1,1183;1,1183
"contemporâneo";-0,5591;0,5591
"valor";-0,826;0,826
"contador";0,5677;-0,5677
"perguntar";-0,1611;0,1611
"promover";0,3057;-0,3057
"carlos";-0,5147;0,5147
"procurar";0,3491;-0,3491
"logo";-0,1971;0,1971
"televisão";-0,5591;0,5591
"forte";0,5334;-0,5334
"livro";-2,3938;2,3938
"realizar";0,2618;-0,2618
"john";1,1356;-1,1356
"órgão";0,3371;-0,3371
"julho";-0,1864;0,1864
"acusar";2,3166;-2,3166
"grave";0,2523;-0,2523
"responder";-0,5815;0,5815
"reserva";-0,356;0,356
"prédio";0,4103;-0,4103
"de";-0,9778;0,9778
"propriedade";-0,2964;0,2964
"jovem";0,6336;-0,6336
"olhar";-0,7902;0,7902
"sentido";-1,0251;1,0251
"frequência";0,9382;-0,9382
"dividir";0,5087;-0,5087
"autorização";-0,137;0,137
"montanha";-0,1864;0,1864
"termo";-0,5591;0,5591
"com";-0,9798;0,9798
"jogador";-1,7241;1,7241
"saída";-0,6057;0,6057
"observar";-0,5147;0,5147
"assegurar";0,3057;-0,3057
"metade";-0,4659;0,4659
"função";-0,9319;0,9319
"ratton";-0,8853;0,8853
"evitar";-0,3461;0,3461
"aéreo";1,5667;-1,5667
"aluguel";-0,5591;0,5591
"depois";-0,7269;0,7269
"recurso";-0,5028;0,5028
"campo";-1,2733;1,2733
"coragem";-0,137;0,137
"antes";-1,1243;1,1243
"oliveira";-0,9785;0,9785
"torcer";-0,9319;0,9319
"perigoso";0,5677;-0,5677
"específico";-0,5591;0,5591
"comigo";-0,2964;0,2964
"humor";-0,5591;0,5591
"josé";3,4189;-3,4189
"queda";0,3371;-0,3371
"questão";-0,526;0,526
"moeda";-0,5125;0,5125
"esposo";0,7844;-0,7844
"conversa";-0,7455;0,7455
"artigo";2,3314;-2,3314
"prefeitura";-0,6057;0,6057
"ácido";-0,4659;0,4659
"ganhar";-0,3083;0,3083
"inclusive";0,7989;-0,7989
"esquecer";1,0303;-1,0303
"palestra";-0,2677;0,2677
"zona";-1,3513;1,3513
"muito";-1,3271;1,3271
"funcionar";-0,2152;0,2152
"espécie";0,438;-0,438
"doença";5,9929;-5,9929
"aula";-0,6057;0,6057
"joão";-0,2359;0,2359
"revista";0,5087;-0,5087
"participar";-0,6725;0,6725
"telejornal";-0,6057;0,6057
"maravilhoso";0,5677;-0,5677
"discutir";0,3371;-0,3371
"mudar";-1,1765;1,1765
"participação";-0,4497;0,4497
"ônibus";0,2775;-0,2775
"italiano";1,1106;-1,1106
"atriz";2,1583;-2,1583
"market";-0,4659;0,4659
"prova";-0,137;0,137
"ministério";-0,8621;0,8621
"diálogo";-0,5591;0,5591
"instituição";-1,2115;1,2115
"pequeno";-0,6489;0,6489
"você";-0,3722;0,3722
"dúvida";-0,6523;0,6523
"perder";1,2649;-1,2649
"recente";-0,4497;0,4497
"ligar";0,3776;-0,3776
"forma";-2,684;2,684
"perda";-0,3022;0,3022
"desde";-0,5479;0,5479
"em";-0,3177;0,3177
"el";-0,4659;0,4659
"mulher";0,7852;-0,7852
"eu";-1,9263;1,9263
"precisar";-0,4578;0,4578
"munição";-0,6989;0,6989
"cara";0,5174;-0,5174
"coletivo";-0,5125;0,5125
"investimento";-0,9319;0,9319
"qual";-2,2848;2,2848
"reação";0,9382;-0,9382
"objectivo";0,5699;-0,5699
"deus";5,1669;-5,1669
"disputar";-0,4659;0,4659
"graça";0,3371;-0,3371
"identificar";-0,2863;0,2863
"verde";-0,6523;0,6523
"pedreira";-0,4659;0,4659
"lhe";0,4122;-0,4122
"internacional";0,6091;-0,6091
"ressaltar";-0,5147;0,5147
"contar";-1,087;1,087
"estar";0,4018;-0,4018
"manifestar";-0,7921;0,7921
"ambiente";-0,5249;0,5249
"seguida";0,3724;-0,3724
"episódio";-0,3259;0,3259
"ambiental";-0,418;0,418
"bitcoins";-0,5591;0,5591
"característica";-0,7921;0,7921
"vaticano";10,04;-10,04
"habitante";-0,9319;0,9319
"conseguir";1,3374;-1,3374
"vista";0,2999;-0,2999
"andamento";-0,4659;0,4659
"taxa";-0,1758;0,1758
"real";0,8248;-0,8248
"lado";0,3411;-0,3411
"máximo";-0,2126;0,2126
"virar";-0,356;0,356
"chefe";-0,137;0,137
"central";-0,6989;0,6989
"ocupar";-0,7455;0,7455
"transformar";-0,5815;0,5815
"fugir";-0,3259;0,3259
"sexta_feira";-0,2397;0,2397
"previdência";-0,8853;0,8853
"juiz";-0,9785;0,9785
"registro";-0,6057;0,6057
"sucesso";-0,7455;0,7455
"pior";-0,1864;0,1864
"famoso";0,6513;-0,6513
"correr";0,3237;-0,3237
"inquérito";-0,137;0,137
"cientista";0,9382;-0,9382
"coordenador";-0,8853;0,8853
"mundial";0,2575;-0,2575
"música";0,5334;-0,5334
"tradicional";-0,6057;0,6057
"intenção";-0,2126;0,2126
"governador";-0,6989;0,6989
"roupa";-0,1611;0,1611
"fé";-0,137;0,137
"a";-1,0523;1,0523
"convencer";-0,1611;0,1611
"paulo";-1,7928;1,7928
"demorar";0,5087;-0,5087
"polícia";2,3893;-2,3893
"todo";-0,3012;0,3012
"somente";1,5521;-1,5521
"7";0,5334;-0,5334
"base";-0,2677;0,2677
"suficiente";-0,137;0,137
"aguardar";-0,2126;0,2126
"brasília";0,3057;-0,3057
"país";-0,6456;0,6456
"fevereiro";-0,1864;0,1864
"qualidade";0,9;-0,9
"hotel";1,3376;-1,3376
"desafio";-0,2677;0,2677
"minha";-1,2334;1,2334
"setor";1,4447;-1,4447
"certo";-0,4548;0,4548
"passo";0,2775;-0,2775
"quem";-0,3191;0,3191
"eletrônico";-0,1611;0,1611
"lacovara";-0,5125;0,5125
"chão";0,3057;-0,3057
"cultura";-0,2138;0,2138
"parecer";-0,3669;0,3669
"morador";-0,3494;0,3494
"século";0,4122;-0,4122
"cotidiano";-0,4659;0,4659
"pessoal";1,7062;-1,7062
"chegar";0,6942;-0,6942
"denúncia";2,61;-2,61
"regra";0,2295;-0,2295
"cantar";-0,2677;0,2677
"reduzir";-0,2152;0,2152
"acolher";-0,5125;0,5125
"vilarejo";-0,5125;0,5125
"saúde";2,0435;-2,0435
"conter";1,1428;-1,1428
"prevenção";-0,6989;0,6989
"construção";0,5174;-0,5174
"000";1,8673;-1,8673
"escolha";-0,4659;0,4659
"trabalhador";0,3724;-0,3724
"localizar";1,4447;-1,4447
"apresentar";0,3411;-0,3411
"ocorrer";0,5555;-0,5555
"informar";7,6198;-7,6198
"marco";-0,6523;0,6523
"marca";-1,5377;1,5377
"popular";-0,8387;0,8387
"mercadoria";-0,1864;0,1864
"parado";1,1356;-1,1356
"economia";-0,2397;0,2397
"permitir";-0,2742;0,2742
"autoridade";0,3776;-0,3776
"gratuito";-0,5125;0,5125
"rua";-0,3945;0,3945
"tocar";0,2775;-0,2775
"língua";0,3057;-0,3057
"bloco";-1,7241;1,7241
"70";-0,1864;0,1864
"funcionamento";-0,5125;0,5125
"legítimo";-0,4659;0,4659
"sinal";-0,5591;0,5591
"preocupação";-0,8387;0,8387
"governo";-0,4677;0,4677
"tamanho";-0,1864;0,1864
"circuito";1,4426;-1,4426
"proteger";-0,2677;0,2677
"adulto";-0,137;0,137
"lembrar";-0,249;0,249
"manhattan";-0,5591;0,5591
"contratar";0,7844;-0,7844
"william";0,5677;-0,5677
"pretender";-0,6989;0,6989
"visita";0,4573;-0,4573
"perna";0,5677;-0,5677
"e";1,5147;-1,5147
"g1";-2,3938;2,3938
"facebook";1,8673;-1,8673
"organização";-0,356;0,356
"atacar";0,3057;-0,3057
"acidente";-0,2359;0,2359
"envolvido";-0,2964;0,2964
"relacionamento";-0,137;0,137
"claro";-0,7546;0,7546
"violento";-0,3867;0,3867
"coleta";-0,6989;0,6989
"blockchain";-1,7241;1,7241
"espírito";1,2326;-1,2326
"trocar";-0,6989;0,6989
"ferida";0,4122;-0,4122
"gosto";0,2295;-0,2295
"sessão";-0,6989;0,6989
"alguém";1,1106;-1,1106
"senhor";0,9278;-0,9278
"modo";-0,1758;0,1758
"globo";2,0028;-2,0028
"causa";0,5205;-0,5205
"jogar";0,2438;-0,2438
"junho";-0,2126;0,2126
"maílson";-0,8387;0,8387
"único";-2,0038;2,0038
"final";-0,5582;0,5582
"mariana";-0,6523;0,6523
"quando";0,4953;-0,4953
"bem";-1,692;1,692
"igreja";9,1133;-9,1133
"mês";1,5798;-1,5798
"sp";0,2775;-0,2775
"cima";0,5087;-0,5087
"tornar";-1,1589;1,1589
"infância";-0,1611;0,1611
"atuar";-0,5479;0,5479
"tiro";0,9189;-0,9189
"atual";-1,3047;1,3047
"namorado";1,1356;-1,1356
"grau";-0,1864;0,1864
"agressor";-0,6523;0,6523
"gênero";-0,5147;0,5147
"médio";0,4414;-0,4414
"escrever";1,2327;-1,2327
"humano";1,9101;-1,9101
"futebol";-0,98;0,98
"luz";0,7844;-0,7844
"frente";0,2387;-0,2387
"aqui";-0,5028;0,5028
"limite";0,6613;-0,6613
"emoção";-0,5125;0,5125
"paraguai";-0,4659;0,4659
"chamar";0,2602;-0,2602
"possibilidade";0,2387;-0,2387
"iozzi";-0,4659;0,4659
"espanha";0,5677;-0,5677
"mesmo";-1,0583;1,0583
"possível";-1,0945;1,0945
"parte";-0,6418;0,6418
"estado";-1,3254;1,3254
"adorar";0,8568;-0,8568
"temer";0,4573;-0,4573
"físico";-0,2964;0,2964
