"";"X.gr_01";"X.gr_02"
"mal";0,3237;-0,3237
"sofrer";0,4657;-0,4657
"treinamento";-0,137;0,137
"mais";-1,0638;1,0638
"maio";-0,2964;0,2964
"significar";1,0303;-1,0303
"janeiro";-0,3494;0,3494
"avião";4,5918;-4,5918
"fazer";-0,7112;0,7112
"departamento";-0,2126;0,2126
"chave";1,1428;-1,1428
"org";-0,5591;0,5591
"acrescentar";0,4573;-0,4573
"registrar";-0,3738;0,3738
"atuação";-0,5591;0,5591
"americano";4,4134;-4,4134
"rachel";-0,4659;0,4659
"carro";2,1466;-2,1466
"nascimento";-0,4659;0,4659
"diagnosticar";0,7844;-0,7844
"broadcast";-0,6057;0,6057
"subterrâneo";-0,2126;0,2126
"10";0,7464;-0,7464
"13";-0,1758;0,1758
"12";0,6179;-0,6179
"15";0,8094;-0,8094
"número";0,2618;-0,2618
"17";1,8653;-1,8653
"16";0,2775;-0,2775
"19";-0,1758;0,1758
"18";0,6613;-0,6613
"pegar";0,3602;-0,3602
"princípio";-0,5125;0,5125
"aumentar";0,4777;-0,4777
"unidade";-0,7921;0,7921
"cantor";2,4794;-2,4794
"convidar";-0,1864;0,1864
"interior";0,2523;-0,2523
"200";-0,2152;0,2152
"normal";0,2775;-0,2775
"digno";-0,5125;0,5125
"corrente";-0,5125;0,5125
"show";0,2778;-0,2778
"preciso";-1,4911;1,4911
"população";-0,2311;0,2311
"stand";-0,6523;0,6523
"já";-0,5136;0,5136
"razão";0,3496;-0,3496
"chuva";-0,1611;0,1611
"certeza";0,7844;-0,7844
"proposta";-0,356;0,356
"achar";-1,2602;1,2602
"quadro";-0,5591;0,5591
"crescimento";-0,418;0,418
"garoto";0,5087;-0,5087
"arte";-1,6245;1,6245
"acre";1,0303;-1,0303
"família";-2,0756;2,0756
"partida";-0,6989;0,6989
"quatro";-0,5582;0,5582
"paz";0,5087;-0,5087
"pai";0,2859;-0,2859
"então";-0,4424;0,4424
"necessariamente";-0,4659;0,4659
"perto";0,4103;-0,4103
"4";-0,1971;0,1971
"viver";-0,2581;0,2581
"imagem";5,4582;-5,4582
"vário";2,6982;-2,6982
"compreender";0,5087;-0,5087
"atender";-0,5479;0,5479
"sambalanço";-0,4659;0,4659
"empresa";0,7664;-0,7664
"pessoa";0,9842;-0,9842
"responsabilidade";-0,4659;0,4659
"cão";5,8475;-5,8475
"advogado";-0,2138;0,2138
"interesse";-0,6989;0,6989
"universidade";-0,2152;0,2152
"11";0,2575;-0,2575
"nível";-0,8387;0,8387
"gol";-0,7921;0,7921
"papelão";-0,6989;0,6989
"vila";-0,1951;0,1951
"viajar";-0,137;0,137
"14";-0,1951;0,1951
"fuzil";-1,3513;1,3513
"clássico";-0,8387;0,8387
"decisão";-0,482;0,482
"exemplo";-2,2473;2,2473
"comprovar";-0,137;0,137
"dificuldade";-0,826;0,826
"prever";1,4447;-1,4447
"roubo";-0,4659;0,4659
"incluir";0,6544;-0,6544
"criatividade";-0,6989;0,6989
"dez";-1,7241;1,7241
"ocorrência";-0,2964;0,2964
"morto";-0,2835;0,2835
"morte";1,1645;-1,1645
"pleno";1,1356;-1,1356
"distribuir";-0,8387;0,8387
"carreira";-1,1649;1,1649
"sistema";-1,2767;1,2767
"discussão";-0,7902;0,7902
"celular";1,2326;-1,2326
"24";0,2387;-0,2387
"25";-0,8853;0,8853
"27";-0,2397;0,2397
"20";0,6047;-0,6047
"21";2,3669;-2,3669
"22";-0,3738;0,3738
"23";-0,2964;0,2964
"pena";0,4414;-0,4414
"respeito";-0,6989;0,6989
"completar";0,4777;-0,4777
"porto";-0,2863;0,2863
"porta";0,9869;-0,9869
"visitar";-0,2126;0,2126
"prefeito";-0,8853;0,8853
"britânico";0,3237;-0,3237
"analisar";-0,1864;0,1864
"verdade";-1,7241;1,7241
"secretaria";-1,0251;1,0251
"piloto";-1,3979;1,3979
"comando";-0,137;0,137
"cada";-1,4972;1,4972
"jogo";-0,5459;0,5459
"dono";0,7459;-0,7459
"retornar";1,0303;-1,0303
"importância";-0,6057;0,6057
"para";-0,8372;0,8372
"park";-0,2964;0,2964
"conhecer";0,9171;-0,9171
"esgoto";-0,4497;0,4497
"essa";-0,8953;0,8953
"esse";-2,0822;2,0822
"permanecer";-0,2964;0,2964
"km";-0,2677;0,2677
"carne";3,613;-3,613
"obstáculo";-0,5591;0,5591
"sustentar";1,0303;-1,0303
"ruim";0,7196;-0,7196
"depender";-1,2115;1,2115
"8";0,3776;-0,3776
"meio";-1,6231;1,6231
"restaurante";-0,1758;0,1758
"tender";0,3776;-0,3776
"filho";0,8202;-0,8202
"andar";0,6973;-0,6973
"parar";0,5699;-0,5699
"repetir";-0,5591;0,5591
"declarar";2,7929;-2,7929
"busca";0,3776;-0,3776
"entre";-0,3068;0,3068
"verificar";0,4122;-0,4122
"alternativo";-0,137;0,137
"atentado";-1,1649;1,1649
"comportamento";1,3686;-1,3686
"cuja";-0,5591;0,5591
"endereço";0,4573;-0,4573
"distribuição";-0,5125;0,5125
"mostrar";0,5893;-0,5893
"assédio";2,0878;-2,0878
"energia";0,9869;-0,9869
"eliminar";-0,5125;0,5125
"300";-0,1611;0,1611
"fechado";0,5174;-0,5174
"acompanhar";0,7343;-0,7343
"aquilo";-0,5147;0,5147
"financeiro";-0,8853;0,8853
"poder";0,3881;-0,3881
"exposição";-0,7455;0,7455
"dinheiro";1,5708;-1,5708
"significativo";-0,2397;0,2397
"produtor";-0,4497;0,4497
"papa";6,3707;-6,3707
"representar";-1,0717;1,0717
"malandro";-0,137;0,137
"2004";-0,4659;0,4659
"2008";3,2267;-3,2267
"manter";0,3696;-0,3696
"básico";0,2775;-0,2775
"mecanismo";-0,5591;0,5591
"geração";-0,8853;0,8853
"depoimento";2,0039;-2,0039
"totalmente";1,0303;-1,0303
"operação";-0,4501;0,4501
"entender";-1,428;1,428
"escola";-3,8685;3,8685
"apresentador";3,3313;-3,3313
"década";-0,8853;0,8853
"luiz";1,332;-1,332
"32";-0,5591;0,5591
"31";0,4573;-0,4573
"30";-1,1211;1,1211
"entanto";-0,4242;0,4242
"preservação";-0,6989;0,6989
"presidente";-0,3057;0,3057
"força";-0,6154;0,6154
"chamado";0,9287;-0,9287
"perceber";0,6179;-0,6179
"caminho";-0,6497;0,6497
"julgamento";0,5087;-0,5087
"valer";-1,4911;1,4911
"conferir";1,8653;-1,8653
"ideia";-0,7539;0,7539
"guariroba";-1,3513;1,3513
"falta";-0,2863;0,2863
"redução";-0,2126;0,2126
"unido";-0,2674;0,2674
"paulista";-0,4659;0,4659
"tso";-0,5591;0,5591
"eua";3,0076;-3,0076
"versão";0,3371;-0,3371
"criminal";-0,1611;0,1611
"camus";-1,0717;1,0717
"dan";-0,6523;0,6523
"vencer";-0,7455;0,7455
"dar";0,9413;-0,9413
"quê";-0,2126;0,2126
"atendimento";-0,2964;0,2964
"sexual";0,3371;-0,3371
"mato";-0,2397;0,2397
"que";0,4556;-0,4556
"compra";0,5174;-0,5174
"atenção";-0,2397;0,2397
"ameaçar";-0,1611;0,1611
"próximo";-0,3627;0,3627
"transação";-0,7921;0,7921
"negro";-0,1758;0,1758
"respeitar";0,5087;-0,5087
"cabeça";-0,2311;0,2311
"atitude";-0,2397;0,2397
"mim";-0,2138;0,2138
"milhão";1,1112;-1,1112
"experiência";-0,2574;0,2574
"seguro";0,6968;-0,6968
"bunuel";-0,8853;0,8853
"controlo";-0,2359;0,2359
"normalmente";-0,1611;0,1611
"grosso";-0,2677;0,2677
"fator";-0,1864;0,1864
"bruno";2,3166;-2,3166
"agora";0,8547;-0,8547
"terça_feira";-0,137;0,137
"utilizar";-0,6725;0,6725
"manhã";1,3376;-1,3376
"saudável";6,3707;-6,3707
"ao";-1,142;1,142
"produtividade";-0,5125;0,5125
"homem";5,4695;-5,4695
"psicopata";-1,3047;1,3047
"novela";-0,9785;0,9785
"sete";-0,1758;0,1758
"resultado";-0,2795;0,2795
"antonio";-1,1649;1,1649
"executivo";-0,5591;0,5591
"noivo";-0,7921;0,7921
"reunir";-0,7921;0,7921
"teste";-0,1864;0,1864
"resolver";2,3166;-2,3166
"américa";0,6086;-0,6086
"paraíso";-0,5125;0,5125
"consumir";1,1356;-1,1356
"também";1,1936;-1,1936
"desenvolvimento";-0,6989;0,6989
"encontro";-0,5479;0,5479
"comida";5,0803;-5,0803
"quanto";0,7464;-0,7464
"aberto";0,2778;-0,2778
"troca";-0,1864;0,1864
"espalhar";-0,1864;0,1864
"seis";-1,1183;1,1183
"povo";1,0303;-1,0303
"costumar";-0,2397;0,2397
"membro";1,0303;-1,0303
"tratar";2,8718;-2,8718
"paris";-0,4659;0,4659
"casamento";-0,4659;0,4659
"casal";0,9287;-0,9287
"possuir";1,8062;-1,8062
"decidir";1,6591;-1,6591
"street";-0,7921;0,7921
"acordo";2,1082;-2,1082
"enfrentar";-0,9785;0,9785
"preparar";0,4777;-0,4777
"março";-0,2795;0,2795
"lamentar";-0,2397;0,2397
"outro";-1,1738;1,1738
"gravar";0,9382;-0,9382
"hospital";6,8764;-6,8764
"saber";2,4325;-2,4325
"musa";-0,6989;0,6989
"pouco";0,33;-0,33
"me";0,2723;-0,2723
"te";1,0613;-1,0613
"política";-2,097;2,097
"político";0,2438;-0,2438
"atração";-0,5125;0,5125
"ambos";0,4573;-0,4573
"especializado";-0,137;0,137
"quantidade";-0,1758;0,1758
"enviar";0,5608;-0,5608
"london";-0,1864;0,1864
"origem";-0,8387;0,8387
"histórico";-0,7921;0,7921
"fonte";1,4258;-1,4258
"tendência";-0,5125;0,5125
"nunca";0,5115;-0,5115
"matar";2,113;-2,113
"bairro";-1,9105;1,9105
"acontecer";0,6443;-0,6443
"acima";1,0454;-1,0454
"poço";-0,5591;0,5591
"movimento";-1,7707;1,7707
"bitcoin";-1,3979;1,3979
"estrada";-0,2574;0,2574
"lançar";-0,3867;0,3867
"burger";-0,4659;0,4659
"após";2,6165;-2,6165
"leste";-0,6989;0,6989
"crescer";0,5334;-0,5334
"bridge";-0,2126;0,2126
"uscifrão";-0,2138;0,2138
"tributário";-0,7921;0,7921
"the";-0,2152;0,2152
"companhia";1,0454;-1,0454
"escritor";-0,5591;0,5591
"bandido";-0,5591;0,5591
"manifestação";-0,5591;0,5591
"acreditar";0,7055;-0,7055
"tratamento";0,6973;-0,6973
"alguma";1,0194;-1,0194
"renda";-0,4659;0,4659
"fóssil";-0,6057;0,6057
"pressão";0,2775;-0,2775
"resposta";0,3724;-0,3724
"conceito";-0,2126;0,2126
"esperança";0,5087;-0,5087
"fallon";-0,4659;0,4659
"proprietário";-0,6523;0,6523
"referência";-0,9785;0,9785
"antigo";0,2387;-0,2387
"afetar";1,7069;-1,7069
"dado";-0,935;0,935
"lutar";-0,1611;0,1611
"necessidade";-0,1951;0,1951
"gestão";-0,6057;0,6057
"acusação";3,4886;-3,4886
"expor";-0,5125;0,5125
"ela";-0,5735;0,5735
"ele";3,3417;-3,3417
"cultural";-0,8387;0,8387
"aprender";-1,2581;1,2581
"espaço";-2,33;2,33
"baleia";1,7069;-1,7069
"51";0,5677;-0,5677
"50";-0,6844;0,6844
"amor";0,5087;-0,5087
"clube";-0,3259;0,3259
"gostar";-0,2311;0,2311
"mão";-0,6434;0,6434
"mãe";0,7952;-0,7952
"município";-1,3513;1,3513
"explicar";-0,4205;0,4205
"algo";0,7397;-0,7397
"esperar";0,3602;-0,3602
"agressão";0,3057;-0,3057
"né";0,5087;-0,5087
"ajuda";-0,3022;0,3022
"lago";-0,8387;0,8387
"turista";-0,6057;0,6057
"devido";1,4258;-1,4258
"plataforma";-0,5591;0,5591
"vivo";-0,6844;0,6844
"conteúdo";-0,7921;0,7921
"mediação";-0,8387;0,8387
"aluno";-0,1758;0,1758
"junto";-0,3988;0,3988
"tio";-0,1611;0,1611
"imóvel";0,2999;-0,2999
"autismo";-0,5125;0,5125
"direção";0,3724;-0,3724
"quase";0,9531;-0,9531
"guarda";0,4122;-0,4122
"cenário";-0,6989;0,6989
"posto";-0,6989;0,6989
"bahia";-0,4659;0,4659
"chorar";-0,1611;0,1611
"melhor";-1,339;1,339
"exame";3,4886;-3,4886
"leh";-0,4659;0,4659
"semana";2,8498;-2,8498
"braço";0,9382;-0,9382
"pensar";-0,3441;0,3441
"audiência";-0,6523;0,6523
"seguinte";1,0508;-1,0508
"tribunal";-0,2126;0,2126
"produção";-0,6497;0,6497
"figura";0,5174;-0,5174
"construir";-0,3255;0,3255
"conduzir";-0,4659;0,4659
"1";-0,7612;0,7612
"mediador";-0,6523;0,6523
"câncer";6,9973;-6,9973
"determinado";-1,0717;1,0717
"suicídio";3,2853;-3,2853
"estudo";1,3686;-1,3686
"voltar";-0,5869;0,5869
"civil";-0,4405;0,4405
"passar";1,6375;-1,6375
"maior";1,4993;-1,4993
"vizinho";1,9844;-1,9844
"ameaça";-0,2397;0,2397
"avaliar";-0,6523;0,6523
"copa";-1,1183;1,1183
"contribuir";0,5087;-0,5087
"enigma";-0,1864;0,1864
"r";-0,5591;0,5591
"ana";-0,7921;0,7921
"pro";1,2841;-1,2841
"ano";0,5609;-0,5609
"ideal";-0,7455;0,7455
"grátis";-0,4659;0,4659
"frio";1,0303;-1,0303
"prestar";-0,2397;0,2397
"tráfico";-0,5125;0,5125
"mercado";-0,7019;0,7019
"qualquer";-0,3104;0,3104
"briga";-0,6523;0,6523
"ouvir";-0,5011;0,5011
"crime";-0,7385;0,7385
"administração";-0,137;0,137
"romário";-0,4659;0,4659
"educação";0,6086;-0,6086
"médico";10,8901;-10,8901
"índice";-0,1611;0,1611
"federal";-0,2217;0,2217
"descobrir";-0,1971;0,1971
"prêmio";-0,7921;0,7921
"por";-0,3819;0,3819
"correto";-0,7921;0,7921
"60";0,7989;-0,7989
"acabar";-0,7841;0,7841
"verdadeiro";-0,2677;0,2677
"casa";0,2706;-0,2706
"caso";1,3133;-1,3133
"prisão";-0,2138;0,2138
"mil";-0,2837;0,2837
"fácil";0,8564;-0,8564
"evento";-1,3979;1,3979
"consumidor";0,5087;-0,5087
"regime";-0,2964;0,2964
"luta";0,3371;-0,3371
"bilhão";-0,1611;0,1611
"samba";-4,8479;4,8479
"loja";0,3776;-0,3776
"cadeira";5,0373;-5,0373
"tanto";-0,5249;0,5249
"abrigo";-0,2677;0,2677
"mineiro";-0,8853;0,8853
"legal";-0,4497;0,4497
"comunicado";0,5608;-0,5608
"_";-21,5289;21,5289
"compartilhar";0,7844;-0,7844
"instrumento";-0,6523;0,6523
"último";0,4567;-0,4567
"cena";-0,1864;0,1864
"cinema";-2,1902;2,1902
"feliz";0,6613;-0,6613
"defesa";-0,9319;0,9319
"5";-0,2248;0,2248
"aplicativo";-0,6057;0,6057
"pinheiro";-0,5125;0,5125
"participante";-0,2126;0,2126
"grupo";0,378;-0,378
"assassino";2,0039;-2,0039
"ali";-1,8173;1,8173
"velho";0,4676;-0,4676
"maioria";0,4644;-0,4644
"sociedade";-0,5815;0,5815
"existir";0,2753;-0,2753
"encaminhar";-0,2359;0,2359
"outorga";-0,5125;0,5125
"reino";0,3057;-0,3057
"ter";-0,8422;0,8422
"sua";1,5363;-1,5363
"sul";0,3349;-0,3349
"agredir";0,4122;-0,4122
"contexto";-0,5591;0,5591
"livros_razões";-0,4659;0,4659
"avaliação";-0,5125;0,5125
"diário";0,2523;-0,2523
"texto";0,9189;-0,9189
"programação";-0,6989;0,6989
"provocar";-0,4497;0,4497
"começar";0,4117;-0,4117
"concessionário";-0,482;0,482
"salvador";-0,1611;0,1611
"levar";-1,0426;1,0426
"negócio";-0,1611;0,1611
"iniciar";-0,2677;0,2677
"renata";-1,0251;1,0251
"azul";1,1356;-1,1356
"relatar";4,9464;-4,9464
"festa";0,5174;-0,5174
"dentro";0,2633;-0,2633
"grande";-0,4405;0,4405
"santo";0,5311;-0,5311
"argentino";-0,4659;0,4659
"ficar";2,1272;-2,1272
"warmbier";1,4426;-1,4426
"pedido";-0,6497;0,6497
"cercar";0,9863;-0,9863
"fotógrafo";-0,4659;0,4659
"envolver";-0,3255;0,3255
"obra";-0,5033;0,5033
"projeto";-4,5214;4,5214
"relato";2,599;-2,599
"natureza";1,8673;-1,8673
"king";-0,5125;0,5125
"dano";-0,3259;0,3259
"assistir";1,613;-1,613
"direito";-1,1765;1,1765
"situação";-0,5028;0,5028
"amar";-0,8853;0,8853
"curso";-0,5815;0,5815
"atualmente";-0,8387;0,8387
"superar";-0,6057;0,6057
"história";-1,6231;1,6231
"perícia";-0,4659;0,4659
"porque";-0,5883;0,5883
"vítima";-0,4424;0,4424
"curto";-0,6989;0,6989
"demonstrar";0,7844;-0,7844
"falha";0,2295;-0,2295
"solo";-0,6057;0,6057
"cortar";-0,1864;0,1864
"considerar";-1,1211;1,1211
"operar";-0,3259;0,3259
"óleo";-0,9319;0,9319
"inglês";-0,137;0,137
"criar";-1,0648;1,0648
"pm";1,1667;-1,1667
"auxiliar";-0,1611;0,1611
"cinco";0,3491;-0,3491
"rir";0,5677;-0,5677
"9";-0,2152;0,2152
"atrás";-1,3513;1,3513
"pé";0,7196;-0,7196
"literatura";-0,7921;0,7921
"incrível";-0,2397;0,2397
"fato";1;-1
"apenas";1,812;-1,812
"propor";-0,1611;0,1611
"competitivo";-0,5591;0,5591
"leitor";-0,7921;0,7921
"técnica";-0,5862;0,5862
"técnico";-0,826;0,826
"estratégia";-0,5125;0,5125
"lincoln";0,2523;-0,2523
"lá";0,2633;-0,2633
"rádio";-0,6057;0,6057
"medo";-0,6844;0,6844
"comandar";0,5087;-0,5087
"câmera";1,4426;-1,4426
"fantasia";-0,5591;0,5591
"voo";0,5835;-0,5835
"baiano";-0,5125;0,5125
"canal";-0,2964;0,2964
"fase";-0,7455;0,7455
"infelizmente";1,4426;-1,4426
"impossível";-0,137;0,137
"massa";-0,1864;0,1864
"imposto";1,1356;-1,1356
"tentativa";-0,9785;0,9785
"conselho";-0,9785;0,9785
"independente";-0,1864;0,1864
"problema";1,7532;-1,7532
"nenhum";0,2939;-0,2939
"desenvolver";-0,4497;0,4497
"palavra";-0,2152;0,2152
"garantir";-0,3255;0,3255
"incidente";-0,1864;0,1864
"metrô";-0,2397;0,2397
"informação";1,1546;-1,1546
"capital";0,3411;-0,3411
"recuperar";-0,2677;0,2677
"público";-2,2554;2,2554
"iniciativa";-0,8853;0,8853
"metro";-0,4242;0,4242
"substituir";-0,6057;0,6057
"rede";2,4346;-2,4346
"comentar";-0,6989;0,6989
"uso";-2,2293;2,2293
"violência";-2,684;2,684
"especialista";-0,482;0,482
"noite";0,4411;-0,4411
"dedicar";-0,2964;0,2964
"estudante";0,5699;-0,5699
"tal";1,9844;-1,9844
"importar";1,0303;-1,0303
"semelhante";-0,1611;0,1611
"sim";0,8116;-0,8116
"ainda";-0,2725;0,2725
"descartar";-0,4659;0,4659
"superior";-0,3867;0,3867
"material";-0,1611;0,1611
"dever";-0,3812;0,3812
"souza";-0,5125;0,5125
"meu";-0,4324;0,4324
"80";0,2523;-0,2523
"conhecimento";0,5608;-0,5608
"prático";-1,1183;1,1183
"primeiro";-1,4175;1,4175
"apoio";-0,5479;0,5479
"york";-1,3047;1,3047
"embora";-0,6154;0,6154
"cair";-1,6775;1,6775
"capaz";0,3057;-0,3057
"efeito";0,3724;-0,3724
"carnaval";-1,0717;1,0717
"felício";-0,4659;0,4659
"sonho";0,4414;-0,4414
"servidor";-0,418;0,418
"distrito";-0,2677;0,2677
"terceiro";-0,6497;0,6497
"lugar";-0,7272;0,7272
"centro";-0,5242;0,5242
"bacia";-0,9785;0,9785
"debate";-0,5125;0,5125
"local";3,0777;-3,0777
"maria";-1,6309;1,6309
"partir";0,587;-0,587
"itália";-0,4497;0,4497
"trabalhar";0,907;-0,907
"combater";0,5087;-0,5087
"avô";0,4777;-0,4777
"amigo";-0,9163;0,9163
"bbc";-1,4147;1,4147
"fã";1,4426;-1,4426
"atirar";2,5277;-2,5277
"nardoni";0,7196;-0,7196
"diante";-0,3022;0,3022
"responsável";1,5521;-1,5521
"notícia";-0,6523;0,6523
"manutenção";-0,2964;0,2964
"privado";-0,2397;0,2397
"criação";-0,6989;0,6989
"preso";-0,2355;0,2355
"índio";-0,2677;0,2677
"presa";-0,2397;0,2397
"consumo";-0,2397;0,2397
"diminuir";-0,1864;0,1864
"cometer";2,997;-2,997
"criativo";-0,5125;0,5125
"mito";-0,5125;0,5125
"investir";0,3371;-0,3371
"cheio";-0,4659;0,4659
"citar";0,2523;-0,2523
"mídia";-0,2397;0,2397
"van";0,8568;-0,8568
"volume";-0,5591;0,5591
"fundo";-0,2359;0,2359
"tema";-0,7921;0,7921
"branco";-0,2311;0,2311
"presença";1,1356;-1,1356
"assunto";1,526;-1,526
"oferecer";-1,7241;1,7241
"stulbach";-0,6057;0,6057
"homicídio";-0,2795;0,2795
