"";"banalfreq";"X.gr_01";"X.gr_02"
"ong";12;-0,5591;0,5591
"preparação";11;0,5087;-0,5087
"doação";11;-0,1611;0,1611
"nota";28;0,8248;-0,8248
"29";12;0,4573;-0,4573
"sala";22;0,7459;-0,7459
"olho";18;-0,356;0,356
"estação";22;-1,0251;1,0251
"3";59;1,4675;-1,4675
"disputa";16;-0,7455;0,7455
"descer";10;-0,4659;0,4659
"constelação";16;-0,7455;0,7455
"época";39;-0,3669;0,3669
"vender";31;0,4103;-0,4103
"s";17;0,6086;-0,6086
"alcançar";10;-0,137;0,137
"droga";31;-0,2138;0,2138
"entregar";16;-0,2964;0,2964
"isabella";28;1,2299;-1,2299
"título";11;-0,1611;0,1611
"orientação";12;0,4573;-0,4573
"fim";47;-0,8849;0,8849
"fama";10;-0,4659;0,4659
"ouvido";13;0,4122;-0,4122
"putin";11;-0,1611;0,1611
"oportunidade";17;0,2775;-0,2775
"costa";20;-0,1758;0,1758
"processamento";11;-0,5125;0,5125
"processo";59;-0,2174;0,2174
"ocupação";22;-1,0251;1,0251
"categoria";12;-0,5591;0,5591
"solução";21;-0,9785;0,9785
"cujo";11;-0,1611;0,1611
"líder";11;-0,5125;0,5125
"definir";15;-0,6989;0,6989
"hoje";104;-0,4227;0,4227
"ouro";12;-0,5591;0,5591
"mensal";11;-0,5125;0,5125
"diretor";43;-0,4548;0,4548
"dormir";10;-0,137;0,137
"completo";15;0,7196;-0,7196
"rússia";23;0,6968;-0,6968
"esforço";11;-0,1611;0,1611
"estúdio";16;-0,2964;0,2964
"mundo";116;0,8881;-0,8881
"getúlio";26;0,2999;-0,2999
"relação";64;-1,4494;1,4494
"pesquisa";26;0,2999;-0,2999
"oito";23;-0,5147;0,5147
"original";11;-0,1611;0,1611
"rapaz";10;1,8673;-1,8673
"tv";35;1,2255;-1,2255
"aplicar";16;1,1428;-1,1428
"jatobá";11;0,5087;-0,5087
"coração";13;0,4122;-0,4122
"reconhecer";13;-0,6057;0,6057
"hash";10;-0,4659;0,4659
"agressividade";12;-0,1864;0,1864
"via";17;-0,3259;0,3259
"vir";93;-0,4124;0,4124
"horário";14;0,3724;-0,3724
"reunião";11;-0,1611;0,1611
"silva";25;-0,5815;0,5815
"obrigar";16;-0,2964;0,2964
"diferente";70;-1,1847;1,1847
"6";20;-0,418;0,418
"visão";10;-0,4659;0,4659
"ponte";13;0,4122;-0,4122
"impacto";17;-0,7921;0,7921
"facção";10;-0,4659;0,4659
"não";1157;0,455;-0,455
"plano";26;-0,6154;0,6154
"fundamental";25;-0,5815;0,5815
"francês";26;-1,2115;1,2115
"papel";26;0,2999;-0,2999
"passagem";12;-0,5591;0,5591
"buscar";18;-0,8387;0,8387
"parceria";18;-0,8387;0,8387
"subir";14;-0,2397;0,2397
"fossar";29;-0,7193;0,7193
"nossa";45;-1,3118;1,3118
"nosso";69;1,054;-1,054
"armamento";11;-0,5125;0,5125
"influenciar";14;0,3724;-0,3724
"aprovar";14;-0,6523;0,6523
"avenida";31;-1,4445;1,4445
"nome";40;-1,1211;1,1211
"contra";84;1,6643;-1,6643
"talvez";27;-0,6497;0,6497
"indústria";10;0,5677;-0,5677
"birri";25;-1,1649;1,1649
"revelar";29;1,6288;-1,6288
"tentar";85;0,8166;-0,8166
"sentar";20;-0,418;0,418
"defender";26;-0,3022;0,3022
"autista";16;-0,7455;0,7455
"assumir";14;-0,2397;0,2397
"córrego";24;-1,1183;1,1183
"seu";307;1,2031;-1,2031
"ser";2726;-0,6854;0,6854
"supermercado";14;-0,2397;0,2397
"sem";133;-0,4006;0,4006
"ninguém";29;0,7782;-0,7782
"pagar";37;-1,0088;1,0088
"europa";10;1,1356;-1,1356
"agente";28;-0,3494;0,3494
"belo";23;-1,0717;1,0717
"interessante";11;-0,5125;0,5125
"imaginar";17;-0,7921;0,7921
"conjunto";13;-0,6057;0,6057
"guardar";10;-0,137;0,137
"formato";13;-0,6057;0,6057
"impedir";15;-0,2677;0,2677
"geralmente";10;-0,137;0,137
"livro_razão";10;-0,4659;0,4659
"moto";24;1,0454;-1,0454
"voz";10;-0,137;0,137
"campanha";16;-0,2964;0,2964
"próprio";97;0,3987;-0,3987
"doar";11;1,7069;-1,7069
"vargas";17;1,0613;-1,0613
"euro";18;0,2523;-0,2523
"conversar";25;0,3237;-0,3237
"ajudar";49;-0,3627;0,3627
"tomar";47;0,7055;-0,7055
"tragédia";16;-0,2964;0,2964
"demanda";12;-0,5591;0,5591
"d";10;0,5677;-0,5677
"alexandra";16;-0,7455;0,7455
"alexandre";16;-0,2964;0,2964
"memória";10;-0,4659;0,4659
"aquele";52;-0,4205;0,4205
"aquela";36;-1,6775;1,6775
"transtorno";11;-0,5125;0,5125
"emocionar";10;1,8673;-1,8673
"idade";24;1,526;-1,526
"jeito";13;-0,6057;0,6057
"anterior";13;-0,6057;0,6057
"dois";180;-0,603;0,603
"integrar";11;-0,5125;0,5125
"terrorista";29;-1,3513;1,3513
"estabelecer";10;-0,4659;0,4659
"escolher";15;0,3371;-0,3371
"up";14;-0,6523;0,6523
"um";1472;1,6744;-1,6744
"salário";21;-0,4497;0,4497
"estilo";18;0,5608;-0,5608
"diverso";50;1,5651;-1,5651
"imprensa";21;0,7989;-0,7989
"pagamento";15;-0,6989;0,6989
"elemento";17;-0,7921;0,7921
"ataque";43;-0,7617;0,7617
"extremamente";13;-0,6057;0,6057
"filósofo";12;1,5667;-1,5667
"roubar";21;0,4414;-0,4414
"leonardo";15;-0,6989;0,6989
"difícil";44;0,5409;-0,5409
"camada";12;-0,5591;0,5591
"lei";41;-0,2263;0,2263
"atrair";14;-0,6523;0,6523
"oficial";28;0,8248;-0,8248
"agência";22;-0,482;0,482
"causar";24;1,526;-1,526
"londres";25;0,9846;-0,9846
"menina";43;0,5691;-0,5691
"menino";19;0,5174;-0,5174
"período";21;-0,1951;0,1951
"cliente";28;0,2575;-0,2575
"roda";10;0,5677;-0,5677
"quilômetro";17;-0,7921;0,7921
"estudar";28;-0,3494;0,3494
"associação";10;-0,137;0,137
"animal";10;0,5677;-0,5677
"capacidade";24;-0,5479;0,5479
"pergunta";10;-0,4659;0,4659
"especial";28;-0,6844;0,6844
"isso";289;-1,4404;1,4404
"classe";13;-0,2126;0,2126
"contato";19;-0,3867;0,3867
"méxico";11;-0,5125;0,5125
"volta";30;-0,3988;0,3988
"econômico";25;-0,2795;0,2795
"2018";12;-0,5591;0,5591
"2015";44;0,5409;-0,5409
"2014";13;0,4122;-0,4122
"2016";44;0,3296;-0,3296
"empatia";14;-0,6523;0,6523
"2010";11;0,5087;-0,5087
"2013";17;1,0613;-1,0613
"2012";25;0,6091;-0,6091
"nada";62;1,6762;-1,6762
"gritar";13;0,4122;-0,4122
"veículo";40;0,4143;-0,4143
"bar";13;-0,2126;0,2126
"comprar";23;-0,5147;0,5147
"contrário";18;0,2523;-0,2523
"caminhão";20;0,8564;-0,8564
"além";116;-0,6084;0,6084
"hídrico";24;-1,1183;1,1183
"tempo";117;-0,4602;0,4602
"cuidado";14;1,332;-1,332
"david";11;-0,5125;0,5125
"festival";15;-0,6989;0,6989
"guerra";27;-0,6497;0,6497
"haver";320;-0,4438;0,4438
"modalidade";13;-0,6057;0,6057
"criminoso";25;-0,5815;0,5815
"roberto";23;0,3776;-0,3776
"legislação";10;-0,4659;0,4659
"exército";19;0,5174;-0,5174
"documento";18;0,2523;-0,2523
"serviço";46;0,4885;-0,4885
"trás";14;1,332;-1,332
"marcar";21;-0,4497;0,4497
"principal";46;-0,3083;0,3083
"terminar";21;-0,4497;0,4497
"tudo";141;1,0978;-1,0978
"familiar";37;-1,7241;1,7241
"autor";36;-0,9718;0,9718
"perdido";11;-0,5125;0,5125
"parque";22;-1,0251;1,0251
"posse";10;-0,4659;0,4659
"mínimo";29;-1,3513;1,3513
"equipa";45;-1,3118;1,3118
"2017";51;0,3782;-0,3782
"romance";12;-0,5591;0,5591
"manancial";14;-0,6523;0,6523
"momento";108;0,378;-0,378
"nacional";65;-1,0354;1,0354
"usuário";18;-0,8387;0,8387
"crise";23;-1,0717;1,0717
"análise";19;-0,8853;0,8853
"sábado";15;-0,2677;0,2677
"frança";21;-0,9785;0,9785
"pernambuco";16;0,3057;-0,3057
"edição";10;0,5677;-0,5677
"banco";29;-1,3513;1,3513
"dezembro";17;-0,3259;0,3259
"lidar";28;-1,3047;1,3047
"decreto";12;0,4573;-0,4573
"fiscal";17;1,6258;-1,6258
"abastecimento";10;-0,4659;0,4659
"transporte";12;-0,1864;0,1864
"sambar";12;-0,5591;0,5591
"colega";16;1,7398;-1,7398
"tão";38;0,2602;-0,2602
"coisa";119;0,6425;-0,6425
"quarto";42;-0,4322;0,4322
"rural";18;-0,356;0,356
"retirar";20;0,4777;-0,4777
"afirmar";102;0,4654;-0,4654
"quadrado";20;-0,9319;0,9319
"exibir";20;-0,1758;0,1758
"fogo";16;1,7398;-1,7398
"hora";60;-0,5904;0,5904
"total";19;-0,3867;0,3867
"continuar";34;-0,5033;0,5033
"custo";16;-0,7455;0,7455
"jornalista";28;1,2299;-1,2299
"ordem";16;-0,7455;0,7455
"passado";52;-1,5849;1,5849
"neto";31;0,4103;-0,4103
"sensação";10;-0,137;0,137
"teatro";18;-0,356;0,356
"proteção";24;-1,1183;1,1183
"contemporâneo";12;-0,5591;0,5591
"valor";32;-0,826;0,826
"contador";10;0,5677;-0,5677
"perguntar";11;-0,1611;0,1611
"promover";16;0,3057;-0,3057
"carlos";23;-0,5147;0,5147
"procurar";43;0,3491;-0,3491
"logo";30;-0,1971;0,1971
"televisão";12;-0,5591;0,5591
"forte";27;0,5334;-0,5334
"realizar";48;0,2618;-0,2618
"john";10;1,1356;-1,1356
"órgão";15;0,3371;-0,3371
"julho";12;-0,1864;0,1864
"grave";18;0,2523;-0,2523
"responder";25;-0,5815;0,5815
"reserva";18;-0,356;0,356
"prédio";31;0,4103;-0,4103
"de";10461;-0,9778;0,9778
"propriedade";16;-0,2964;0,2964
"jovem";84;0,6336;-0,6336
"olhar";31;-0,7902;0,7902
"sentido";22;-1,0251;1,0251
"frequência";12;0,9382;-0,9382
"dividir";11;0,5087;-0,5087
"autorização";10;-0,137;0,137
"montanha";12;-0,1864;0,1864
"termo";12;-0,5591;0,5591
"com";1308;-0,9798;0,9798
"jogador";37;-1,7241;1,7241
"saída";13;-0,6057;0,6057
"observar";23;-0,5147;0,5147
"assegurar";16;0,3057;-0,3057
"metade";10;-0,4659;0,4659
"função";20;-0,9319;0,9319
"ratton";19;-0,8853;0,8853
"evitar";38;-0,3461;0,3461
"aéreo";12;1,5667;-1,5667
"aluguel";12;-0,5591;0,5591
"depois";145;-0,7269;0,7269
"recurso";56;-0,5028;0,5028
"campo";44;-1,2733;1,2733
"coragem";10;-0,137;0,137
"antes";68;-1,1243;1,1243
"oliveira";21;-0,9785;0,9785
"torcer";20;-0,9319;0,9319
"perigoso";10;0,5677;-0,5677
"específico";12;-0,5591;0,5591
"comigo";16;-0,2964;0,2964
"humor";12;-0,5591;0,5591
"queda";15;0,3371;-0,3371
"questão";68;-0,526;0,526
"moeda";11;-0,5125;0,5125
"esposo";14;0,7844;-0,7844
"conversa";16;-0,7455;0,7455
"prefeitura";13;-0,6057;0,6057
"ácido";10;-0,4659;0,4659
"ganhar";46;-0,3083;0,3083
"inclusive";21;0,7989;-0,7989
"esquecer";11;1,0303;-1,0303
"palestra";15;-0,2677;0,2677
"zona";29;-1,3513;1,3513
"muito";294;-1,3271;1,3271
"funcionar";22;-0,2152;0,2152
"espécie";30;0,438;-0,438
"aula";13;-0,6057;0,6057
"joão";23;-0,2359;0,2359
"revista";11;0,5087;-0,5087
"participar";40;-0,6725;0,6725
"telejornal";13;-0,6057;0,6057
"maravilhoso";10;0,5677;-0,5677
"discutir";15;0,3371;-0,3371
"mudar";56;-1,1765;1,1765
"participação";21;-0,4497;0,4497
"ônibus";17;0,2775;-0,2775
"italiano";23;1,1106;-1,1106
"market";10;-0,4659;0,4659
"prova";10;-0,137;0,137
"ministério";33;-0,8621;0,8621
"diálogo";12;-0,5591;0,5591
"instituição";26;-1,2115;1,2115
"pequeno";51;-0,6489;0,6489
"você";211;-0,3722;0,3722
"dúvida";14;-0,6523;0,6523
"perder";56;1,2649;-1,2649
"recente";21;-0,4497;0,4497
"ligar";23;0,3776;-0,3776
"perda";26;-0,3022;0,3022
"desde";80;-0,5479;0,5479
"em";4567;-0,3177;0,3177
"el";10;-0,4659;0,4659
"mulher";191;0,7852;-0,7852
"eu";339;-1,9263;1,9263
"precisar";96;-0,4578;0,4578
"munição";15;-0,6989;0,6989
"cara";19;0,5174;-0,5174
"coletivo";11;-0,5125;0,5125
"investimento";20;-0,9319;0,9319
"reação";12;0,9382;-0,9382
"objectivo";26;0,5699;-0,5699
"disputar";10;-0,4659;0,4659
"graça";15;0,3371;-0,3371
"identificar";35;-0,2863;0,2863
"verde";14;-0,6523;0,6523
"pedreira";10;-0,4659;0,4659
"lhe";13;0,4122;-0,4122
"internacional";25;0,6091;-0,6091
"ressaltar";23;-0,5147;0,5147
"contar";153;-1,087;1,087
"estar";771;0,4018;-0,4018
"manifestar";17;-0,7921;0,7921
"ambiente";46;-0,5249;0,5249
"seguida";14;0,3724;-0,3724
"episódio";17;-0,3259;0,3259
"ambiental";20;-0,418;0,418
"bitcoins";12;-0,5591;0,5591
"característica";17;-0,7921;0,7921
"habitante";20;-0,9319;0,9319
"conseguir";124;1,3374;-1,3374
"vista";26;0,2999;-0,2999
"andamento";10;-0,4659;0,4659
"taxa";20;-0,1758;0,1758
"real";28;0,8248;-0,8248
"lado";53;0,3411;-0,3411
"máximo";13;-0,2126;0,2126
"virar";18;-0,356;0,356
"chefe";10;-0,137;0,137
"central";15;-0,6989;0,6989
"ocupar";16;-0,7455;0,7455
"transformar";25;-0,5815;0,5815
"fugir";17;-0,3259;0,3259
"sexta_feira";14;-0,2397;0,2397
"previdência";19;-0,8853;0,8853
"juiz";21;-0,9785;0,9785
"registro";13;-0,6057;0,6057
"sucesso";16;-0,7455;0,7455
"pior";12;-0,1864;0,1864
"famoso";24;0,6513;-0,6513
"correr";25;0,3237;-0,3237
"inquérito";10;-0,137;0,137
"cientista";12;0,9382;-0,9382
"coordenador";19;-0,8853;0,8853
"mundial";28;0,2575;-0,2575
"música";27;0,5334;-0,5334
"tradicional";13;-0,6057;0,6057
"intenção";13;-0,2126;0,2126
"governador";15;-0,6989;0,6989
"roupa";11;-0,1611;0,1611
"fé";10;-0,137;0,137
"a";5443;-1,0523;1,0523
"convencer";11;-0,1611;0,1611
"paulo";89;-1,7928;1,7928
"demorar";11;0,5087;-0,5087
"todo";311;-0,3012;0,3012
"somente";30;1,5521;-1,5521
"7";27;0,5334;-0,5334
"base";15;-0,2677;0,2677
"suficiente";10;-0,137;0,137
"aguardar";13;-0,2126;0,2126
"brasília";16;0,3057;-0,3057
"país";140;-0,6456;0,6456
"fevereiro";12;-0,1864;0,1864
"qualidade";34;0,9;-0,9
"hotel";20;1,3376;-1,3376
"desafio";15;-0,2677;0,2677
"minha";98;-1,2334;1,2334
"setor";25;1,4447;-1,4447
