"";"*gr_01";"*gr_02"
"exibir";2;18
"fogo";5;11
"hora";4;56
"interno";8;7
"total";1;18
"continuar";2;32
"custo";0;16
"jornalista";6;22
"ordem";0;16
"passado";1;51
"neto";4;27
"sensação";1;9
"teatro";1;17
"proteção";0;24
"contemporâneo";0;12
"valor";1;31
"contador";2;8
"perguntar";1;10
"promover";2;14
"carlos";1;22
"procurar";5;38
"logo";3;27
"televisão";0;12
"forte";4;23
"livro";1;71
"realizar";5;43
"john";3;7
"órgão";2;13
"julho";1;11
"acusar";7;15
"grave";2;16
"responder";1;24
"reserva";1;17
"prédio";4;27
"de";1027;9434
"propriedade";1;15
"jovem";11;73
"olhar";1;30
"sentido";0;22
"frequência";3;9
"dividir";2;9
"autorização";1;9
"montanha";1;11
"termo";0;12
"com";119;1189
"jogador";0;37
"saída";0;13
"observar";1;22
"assegurar";2;14
"metade";0;10
"função";0;20
"ratton";0;19
"evitar";3;35
"aéreo";4;8
"aluguel";0;12
"depois";11;134
"recurso";4;52
"campo";1;43
"coragem";1;9
"antes";3;65
"oliveira";0;21
"torcer";0;20
"perigoso";2;8
"específico";0;12
"comigo";1;15
"humor";0;12
"josé";10;19
"queda";2;13
"questão";5;63
"moeda";0;11
"esposo";3;11
"conversa";0;16
"artigo";5;7
"prefeitura";0;13
"ácido";0;10
"ganhar";4;42
"inclusive";4;17
"esquecer";3;8
"palestra";1;14
"zona";0;29
"muito";21;273
"funcionar";2;20
"espécie";4;26
"doença";12;12
"aula";0;13
"joão";2;21
"revista";2;9
"participar";2;38
"telejornal";0;13
"maravilhoso";2;8
"discutir";2;13
"mudar";2;54
"participação";1;20
"ônibus";2;15
"italiano";5;18
"atriz";5;8
"market";0;10
"prova";1;9
"ministério";1;32
"diálogo";0;12
"instituição";0;26
"pequeno";3;48
"você";20;191
"dúvida";0;14
"perder";10;46
"recente";1;20
"ligar";3;20
"forma";1;78
"perda";2;24
"desde";6;74
"em";463;4104
"el";0;10
"mulher";24;167
"eu";22;317
"precisar";8;88
"munição";0;15
"cara";3;16
"coletivo";0;11
"investimento";0;20
"qual";2;85
"reação";3;9
"objectivo";4;22
"deus";9;7
"disputar";0;10
"graça";2;13
"identificar";3;32
"verde";0;14
"pedreira";0;10
"lhe";2;11
"internacional";4;21
"ressaltar";1;22
"contar";10;143
"estar";81;690
"manifestar";0;17
"ambiente";3;43
"seguida";2;12
"episódio";1;16
"ambiental";1;19
"bitcoins";0;12
"característica";0;17
"vaticano";12;2
"habitante";0;20
"conseguir";19;105
"vista";3;23
"andamento";0;10
"taxa";2;18
"real";5;23
"lado";6;47
"máximo";1;12
"virar";1;17
"chefe";1;9
"central";0;15
"ocupar";0;16
"transformar";1;24
"fugir";1;16
"sexta_feira";1;13
"previdência";0;19
"juiz";0;21
"registro";0;13
"sucesso";0;16
"pior";1;11
"famoso";4;20
"correr";3;22
"inquérito";1;9
"cientista";3;9
"coordenador";0;19
"mundial";3;25
"música";4;23
"tradicional";0;13
"intenção";1;12
"governador";0;15
"roupa";1;10
"fé";1;9
"a";524;4919
"convencer";1;10
"paulo";3;86
"demorar";2;9
"polícia";28;135
"todo";31;280
"somente";7;23
"7";4;23
"base";1;14
"suficiente";1;9
"aguardar";1;12
"brasília";2;14
"país";11;129
"fevereiro";1;11
"qualidade";6;28
"hotel";5;15
"desafio";1;14
"minha";5;93
"setor";6;19
"certo";3;40
"passo";2;15
"quem";11;105
"eletrônico";1;10
"lacovara";0;11
"chão";2;14
"cultura";3;28
"parecer";3;36
"morador";2;26
"século";2;11
"cotidiano";0;10
"pessoal";6;16
"chegar";17;117
"denúncia";6;9
"regra";2;17
"cantar";1;14
"reduzir";2;20
"acolher";0;11
"vilarejo";0;11
"saúde";11;38
"conter";4;12
"prevenção";0;15
"construção";3;16
"000";4;6
"escolha";0;10
"trabalhador";2;12
"localizar";6;19
"apresentar";6;47
"ocorrer";8;53
"informar";19;26
"marco";0;14
"marca";0;33
"popular";0;18
"mercadoria";1;11
"parado";3;7
"economia";1;13
"permitir";4;40
"autoridade";3;20
"gratuito";0;11
"rua";5;56
"tocar";2;15
"língua";2;14
"bloco";0;37
"70";1;11
"funcionamento";0;11
"legítimo";0;10
"sinal";0;12
"preocupação";0;18
"governo";5;60
"tamanho";1;11
"circuito";4;9
"proteger";1;14
"adulto";1;9
"lembrar";3;30
"manhattan";0;12
"contratar";3;11
"william";2;8
"pretender";0;15
"visita";2;10
"perna";2;8
"e";379;3020
"g1";1;71
"facebook";4;6
"organização";1;17
"atacar";2;14
"acidente";2;21
"envolvido";1;15
"relacionamento";1;9
"claro";1;29
"violento";1;18
"coleta";0;15
"blockchain";0;37
"espírito";4;11
"trocar";0;15
"ferida";2;11
"gosto";2;17
"sessão";0;15
"alguém";5;18
"senhor";5;21
"modo";2;18
"globo";13;50
"causa";5;31
"jogar";4;35
"junho";1;12
"maílson";0;18
"único";0;43
"final";2;34
"mariana";0;14
"quando";27;213
"bem";6;122
"igreja";11;2
"mês";15;71
"sp";2;15
"cima";2;9
"tornar";1;40
"infância";1;10
"atuar";1;23
"tiro";4;15
"atual";0;28
"namorado";3;7
"grau";1;11
"agressor";0;14
"gênero";1;22
"médio";3;18
"escrever";8;34
"humano";9;29
"futebol";2;48
"luz";3;11
"frente";3;26
"aqui";4;52
"limite";3;13
"emoção";0;11
"paraguai";0;10
"chamar";4;34
"possibilidade";3;26
"iozzi";0;10
"espanha";2;8
"mesmo";14;184
"possível";3;64
"parte";8;99
"estado";9;143
"adorar";3;10
"temer";2;10
"físico";1;15
"40";2;26
"lauren";0;10
"testemunha";7;17
"vida";20;116
"aeronave";1;16
"fechar";2;18
"amplo";0;11
"investigar";1;18
"morrer";16;51
"motivo";3;19
"preconceito";0;14
"torcido";0;14
"usar";13;63
"ação";0;55
"mudo";0;13
"artista";4;30
"pistola";1;13
"questionar";1;18
"parede";2;8
"norte";5;25
"helicóptero";0;18
"começo";0;18
"sempre";6;96
"etapa";0;16
"apesar";2;23
"agir";1;10
"ingrediente";0;10
"benefício";5;10
"faixa";1;22
"percorrer";0;12
"presente";4;17
"frango";4;7
"exigir";1;16
"reforma";1;30
"utilização";0;15
"segurança";9;65
"sírio";2;21
"cadeia";0;11
"prioridade";0;14
"andré";0;13
"tipo";14;68
"ferido";0;12
"sobre";20;209
"água";11;134
"100";0;33
"acesso";1;23
"cidade";18;106
"estrutura";1;14
"morar";3;44
"moral";0;16
"marido";1;17
"arma";4;65
"pacto";0;14
"melhorar";1;19
"rio";4;81
"desfilar";0;10
"união";1;10
"abaixo";10;25
"nós";1;51
"titular";0;12
"psicológico";1;12
"alegre";1;32
"madrugada";6;10
"gente";3;118
"delegacia";4;31
"comunidade";2;29
"mensagem";3;14
"escapar";1;9
"foto";5;31
"três";4;78
"entrar";6;63
"assalto";0;10
"grade";1;9
"formação";1;11
"bonito";1;17
"2";5;39
"gerar";1;17
"segundo";6;156
"abril";2;8
"redação";0;14
"abrir";5;20
"geral";2;27
"mina";2;11
"gabriela";0;23
"regular";2;10
"alimento";7;14
"dor";1;18
"leitura";1;19
"delegado";2;27
"anunciar";1;16
"sozinho";7;16
"principalmente";6;19
"suspeito";1;17
"suspeita";2;11
"sair";7;77
"futuro";3;22
"falar";15;122
"apresentação";1;13
"concluir";2;15
"setembro";0;11
"durante";40;63
"proteína";4;6
"usado";4;41
"pista";1;32
"funcionário";10;22
"encontrar";12;102
"servir";7;19
"ir";134;1019
"alimentar";7;7
"residência";1;9
"livre";0;20
"estadual";0;29
"triste";2;8
"aparecer";8;20
"produzir";1;27
"programa";4;52
"personagem";0;25
"conflito";0;17
"borges";2;8
"jornalismo";0;27
"esporte";1;20
"assim";6;85
"negar";2;9
"apontar";2;41
"carta";6;4
"bola";0;12
"aumento";0;10
"trabalho";12;104
"tecnologia";1;29
"erro";0;12
"baixo";0;25
"metropolitano";0;10
"condição";3;44
"tarde";3;25
"atividade";3;23
"produto";10;40
"digital";0;10
"alerta";4;10
"publicar";18;11
"russo";3;19
"captação";0;11
"menor";7;17
"menos";7;56
"0";1;16
"sustentável";0;11
"mg";0;15
"dia";26;190
"cozinha";0;10
"agosto";0;16
"viagem";0;31
"alto";12;33
"instituto";5;14
"bom";7;101
"bob";6;6
"realmente";0;13
"enorme";2;12
"ontem";6;8
"cérebro";2;10
"mau";0;11
"mal";3;22
"sofrer";7;49
"treinamento";1;9
"mais";49;534
"maio";1;15
"significar";3;8
"janeiro";2;26
"avião";7;4
"fazer";45;460
"departamento";1;12
"chave";4;12
"org";0;12
"acrescentar";2;10
"registrar";2;27
"atuação";0;12
"americano";10;13
"rachel";0;10
"carro";12;42
"nascimento";0;10
"diagnosticar";3;11
"broadcast";0;13
"subterrâneo";1;12
"10";8;46
"13";2;18
"12";5;28
"15";7;37
"número";5;43
"17";5;10
"16";2;15
"19";2;18
"18";3;13
"pegar";4;29
"princípio";0;11
"aumentar";3;17
"unidade";0;17
"cantor";8;18
"convidar";1;11
"interior";2;16
"200";2;20
"normal";2;15
"digno";0;11
"corrente";0;11
"show";3;24
"preciso";0;32
"população";3;29
"stand";0;14
"já";23;233
"razão";3;21
"chuva";1;10
"certeza";3;11
"proposta";1;17
"achar";5;94
"quadro";0;12
"crescimento";1;19
"garoto";2;9
"arte";1;52
"acre";3;8
"família";8;161
"partida";0;15
"quatro";2;34
"paz";2;9
"pai";10;86
"então";8;87
"necessariamente";0;10
"perto";4;27
"4";3;27
"viver";9;82
"imagem";18;36
"vário";14;45
"compreender";2;9
"atender";1;23
"sambalanço";0;10
"empresa";18;121
"pessoa";37;257
"responsabilidade";0;10
"cão";8;3
"advogado";3;28
"interesse";0;15
"universidade";2;20
"11";3;25
"nível";0;18
"gol";0;17
"papelão";0;15
"vila";2;19
"viajar";1;9
"14";2;19
"fuzil";0;29
"clássico";0;18
"decisão";1;21
"exemplo";2;84
"comprovar";1;9
"dificuldade";1;31
"prever";6;19
"roubo";0;10
"incluir";5;27
"criatividade";0;15
"dez";0;37
"ocorrência";1;15
"morto";6;58
"morte";11;55
"pleno";3;7
"distribuir";0;18
"carreira";0;25
"sistema";3;70
"discussão";1;30
"celular";4;11
"24";3;26
"25";0;19
"27";1;13
"20";8;51
"21";8;19
"22";2;27
"23";1;15
"pena";3;18
"respeito";0;15
"completar";3;17
"porto";3;32
"porta";4;14
"visitar";1;12
"prefeito";0;19
"britânico";3;22
"analisar";1;11
"verdade";0;37
"secretaria";0;22
"piloto";0;30
"comando";1;9
"cada";4;90
"jogo";4;54
"dono";4;18
"retornar";3;8
"importância";0;13
"para";141;1371
"park";1;15
"conhecer";9;48
"esgoto";1;20
"essa";12;154
"esse";10;186
"permanecer";1;15
"km";1;14
"carne";16;44
"obstáculo";0;12
"sustentar";3;8
"ruim";3;12
"depender";0;26
"8";3;20
"meio";5;107
"restaurante";2;18
"tender";3;20
"filho";19;126
"andar";6;33
"parar";4;22
"repetir";0;12
"declarar";6;8
"busca";3;20
"entre";17;157
"verificar";2;11
"alternativo";1;9
"atentado";0;25
"comportamento";6;20
"cuja";0;12
"endereço";2;10
"distribuição";0;11
"mostrar";12;83
"assédio";7;17
"energia";4;14
"eliminar";0;11
"300";1;10
"fechado";3;16
"acompanhar";5;25
"aquilo";1;22
"financeiro";0;19
"poder";44;371
"exposição";0;16
"dinheiro";9;34
"significativo";1;13
"produtor";1;20
"papa";8;2
"representar";0;23
"malandro";1;9
"2004";0;10
"2008";6;6
"manter";5;37
"básico";2;15
"mecanismo";0;12
"geração";0;19
"depoimento";5;9
"totalmente";3;8
"operação";2;30
"entender";1;47
"escola";0;83
"apresentador";8;12
"década";0;19
"luiz";4;10
"32";0;12
"31";2;10
"30";1;39
"entanto";2;29
"preservação";0;15
"presidente";3;33
"força";1;25
"chamado";7;34
"perceber";5;28
"caminho";1;26
"julgamento";2;9
"valer";0;32
"conferir";5;10
"ideia";3;52
"guariroba";0;29
"falta";3;32
"redução";1;12
"unido";3;31
"paulista";0;10
"tso";0;12
"eua";8;14
"versão";2;13
"criminal";1;10
"camus";0;23
"dan";0;14
"vencer";0;16
"dar";25;166
"quê";1;12
"atendimento";1;15
"sexual";2;13
"mato";1;13
"que";364;3144
"compra";3;16
"atenção";1;13
"ameaçar";1;10
"próximo";4;45
"transação";0;17
"negro";2;18
"respeitar";2;9
"cabeça";3;29
"atitude";1;13
"mim";3;28
"milhão";9;43
"experiência";2;22
"seguro";4;19
"bunuel";0;19
"controlo";2;21
"normalmente";1;10
"grosso";1;14
"fator";1;11
"bruno";7;15
"agora";10;57
"terça_feira";1;9
"utilizar";2;38
"manhã";5;15
"saudável";8;2
"ao";36;413
"produtividade";0;11
"homem";22;53
"psicopata";0;28
"novela";0;21
"sete";2;18
"resultado";2;23
"antonio";0;25
"executivo";0;12
"noivo";0;17
"reunir";0;17
"teste";1;11
"resolver";7;15
"américa";3;14
"paraíso";0;11
"consumir";3;7
"também";42;283
"desenvolvimento";0;15
"encontro";1;23
"comida";10;10
"quanto";8;46
"aberto";3;24
"troca";1;11
"espalhar";1;11
"seis";0;24
"povo";3;8
"costumar";1;13
"membro";3;8
"tratar";11;28
"paris";0;10
"casamento";0;10
"casal";7;34
"possuir";6;15
"decidir";8;27
"street";0;17
"acordo";14;54
"enfrentar";0;21
"preparar";3;17
"março";2;23
"lamentar";1;13
"outro";27;325
"gravar";3;9
"hospital";15;17
"saber";26;121
"musa";0;15
"pouco";8;65
"me";14;123
"te";4;13
"política";0;45
"político";4;35
"atração";0;11
"ambos";2;10
"especializado";1;9
"quantidade";2;18
"enviar";3;15
"london";1;11
"origem";0;18
"histórico";0;17
"fonte";5;14
"tendência";0;11
"nunca";10;71
"matar";11;37
"bairro";0;41
"acontecer";14;96
"acima";5;19
"poço";0;12
"movimento";0;38
"bitcoin";0;30
"estrada";2;22
"lançar";1;18
"burger";0;10
"após";22;92
"leste";0;15
"crescer";4;23
"bridge";1;12
"uscifrão";3;28
"tributário";0;17
"the";2;20
"companhia";5;19
"escritor";0;12
"bandido";0;12
"manifestação";0;12
"acreditar";7;40
"tratamento";6;33
"alguma";11;59
"renda";0;10
"fóssil";0;13
"pressão";2;15
"resposta";2;12
"conceito";1;12
"esperança";2;9
"fallon";0;10
"proprietário";0;14
"referência";0;21
"antigo";3;26
"afetar";4;7
"dado";1;34
"lutar";1;10
"necessidade";2;19
"gestão";0;13
"acusação";6;5
"expor";0;11
"ela";29;295
"ele";92;547
"cultural";0;18
"aprender";0;27
"espaço";0;50
"baleia";4;7
"51";2;8
"50";1;27
"amor";2;9
"clube";1;16
"gostar";3;29
"mão";2;37
"mãe";10;59
"município";0;29
"explicar";4;48
"algo";10;61
"esperar";4;29
"agressão";2;14
"né";2;9
"ajuda";2;24
"lago";0;18
"turista";0;13
"devido";5;14
"plataforma";0;12
"vivo";1;27
"conteúdo";0;17
"mediação";0;18
"aluno";2;18
"junto";2;28
"tio";1;10
"imóvel";3;23
"autismo";0;11
"direção";2;12
"quase";9;47
"guarda";2;11
"cenário";0;15
"posto";0;15
"bahia";0;10
"chorar";1;10
"melhor";3;72
"exame";6;5
"leh";0;10
"semana";12;33
"braço";3;9
"pensar";4;44
"audiência";0;14
"seguinte";6;25
"tribunal";1;12
"produção";1;26
"figura";3;16
"construir";2;25
"conduzir";0;10
"1";5;74
"mediador";0;14
"câncer";18;26
"determinado";0;23
"suicídio";9;16
"estudo";6;20
"voltar";7;86
"civil";4;49
"passar";24;130
"maior";15;73
"vizinho";7;18
"ameaça";1;13
"avaliar";0;14
"copa";0;24
"contribuir";2;9
"enigma";1;11
"r";0;12
"ana";0;17
"pro";7;27
"ano";57;459
"ideal";0;16
"grátis";0;10
"frio";3;8
"prestar";1;13
"tráfico";0;11
"mercado";2;39
"qualquer";5;51
"briga";0;14
"ouvir";3;42
"crime";5;73
"administração";1;9
"romário";0;10
"educação";3;14
"médico";25;29
"índice";1;10
"federal";5;45
"descobrir";3;27
"prêmio";0;17
"por";142;1284
"correto";0;17
"60";4;17
"acabar";5;75
"verdadeiro";1;14
"casa";17;150
"caso";21;120
"prisão";3;28
"mil";10;93
"fácil";4;16
"evento";0;30
"consumidor";2;9
"regime";1;15
"luta";2;13
"bilhão";1;10
"samba";0;104
"loja";3;20
"cadeira";8;5
"tanto";3;43
"abrigo";1;14
"mineiro";0;19
"legal";1;20
"comunicado";3;15
"_";0;461
"compartilhar";3;11
"instrumento";0;14
"último";10;74
"cena";1;11
"cinema";0;47
"feliz";3;13
"defesa";0;20
"5";7;62
"aplicativo";0;13
"pinheiro";0;11
"participante";1;12
"grupo";12;96
"assassino";5;9
"ali";0;39
"velho";4;25
"maioria";5;33
"sociedade";1;24
"existir";9;78
"encaminhar";2;21
"outorga";0;11
"reino";2;14
"ter";98;973
"sua";47;302
"sul";7;56
"agredir";2;11
"contexto";0;12
"livros_razões";0;10
"avaliação";0;11
"diário";2;16
"texto";4;15
"programação";0;15
"provocar";1;20
"começar";13;102
"concessionário";1;21
"salvador";1;10
"levar";6;97
"negócio";1;10
"iniciar";1;14
"renata";0;22
"azul";3;7
"relatar";14;24
"festa";3;16
"dentro";7;61
"grande";15;152
"santo";9;62
"argentino";0;10
"ficar";34;183
"warmbier";4;9
"pedido";1;26
"cercar";10;53
"fotógrafo";0;10
"envolver";2;25
"obra";2;32
"projeto";0;97
"relato";8;17
"natureza";4;6
"king";0;11
"dano";1;16
"assistir";6;17
"direito";2;54
"situação";4;52
"amar";0;19
"curso";1;24
"atualmente";0;18
"superar";0;13
"história";5;107
"perícia";0;10
"porque";12;135
"vítima";8;87
"curto";0;15
"demonstrar";3;11
"falha";2;17
"solo";0;13
"cortar";1;11
"considerar";1;39
"operar";1;16
"óleo";0;20
"inglês";1;9
"criar";3;63
"pm";6;23
"auxiliar";1;10
"cinco";5;38
"rir";2;8
"9";2;20
"atrás";0;29
"pé";3;12
"literatura";0;17
"incrível";1;13
"fato";8;39
"apenas";16;72
"propor";1;10
"competitivo";0;12
"leitor";0;17
"técnica";2;35
"técnico";1;31
"estratégia";0;11
"lincoln";2;16
"lá";7;61
"rádio";0;13
"medo";1;27
"comandar";2;9
"câmera";4;9
"fantasia";0;12
"voo";5;29
"baiano";0;11
"canal";1;15
"fase";0;16
"infelizmente";4;9
"impossível";1;9
"massa";1;11
"imposto";3;7
"tentativa";0;21
"conselho";0;21
"independente";1;11
"problema";15;67
"nenhum";5;41
"desenvolver";1;20
"palavra";2;20
"garantir";2;25
"incidente";1;11
"metrô";1;13
"informação";9;42
"capital";6;47
"recuperar";1;14
"público";4;114
"iniciativa";0;19
"metro";2;29
"substituir";0;13
"rede";23;102
"comentar";0;15
"uso";1;67
"violência";1;78
"especialista";1;21
"noite";6;42
"dedicar";1;15
"estudante";4;22
"tal";7;18
"importar";3;8
"semelhante";1;10
"sim";8;44
"ainda";21;188
"descartar";0;10
"superior";1;18
"material";1;10
"dever";9;92
"souza";0;11
"meu";10;105
"80";2;16
"conhecimento";3;15
"prático";0;24
"primeiro";9;147
"apoio";1;23
"york";0;28
"embora";1;25
"cair";0;36
"capaz";2;14
"efeito";2;12
"carnaval";0;23
"felício";0;10
"sonho";3;18
"servidor";1;19
"distrito";1;14
"terceiro";1;26
"lugar";3;51
"centro";4;53
"bacia";0;21
"debate";0;11
"local";24;95
"maria";0;35
"partir";7;44
"itália";1;20
"trabalhar";13;77
"combater";2;9
"avô";3;17
"amigo";2;46
"bbc";2;61
"fã";4;9
"atirar";5;6
"nardoni";3;12
"diante";2;24
"responsável";7;23
"notícia";0;14
"manutenção";1;15
"privado";1;13
"criação";0;15
"preso";5;46
"índio";1;14
"presa";1;13
"consumo";1;13
"diminuir";1;11
"cometer";6;7
"criativo";0;11
"mito";0;11
"investir";2;13
"cheio";0;10
"citar";2;16
"mídia";1;13
"van";3;10
"volume";0;12
"fundo";2;21
"tema";0;17
"branco";3;29
"presença";3;7
"assunto";6;18
"oferecer";0;37
"stulbach";0;13
"homicídio";2;23
