"";"X.gr_01";"X.gr_02"
"difícil";0,58;0,42
"camada";0;0,13
"lei";0,39;0,4
"ler";1,16;0,43
"atrair";0;0,15
"oficial";0,48;0,25
"agência";0,1;0,23
"causar";0,58;0,2
"londres";0,48;0,22
"menina";0,58;0,4
"menino";0,29;0,17
"período";0,19;0,21
"cliente";0,29;0,27
"roda";0,19;0,09
"quilômetro";0;0,19
"estudar";0,19;0,28
"associação";0,1;0,1
"animal";0,19;0,09
"capacidade";0,1;0,25
"pergunta";0;0,11
"especial";0,1;0,3
"isso";1,93;2,94
"classe";0,1;0,13
"contato";0,1;0,2
"méxico";0;0,12
"volta";0,19;0,31
"econômico";0,19;0,25
"2018";0;0,13
"2015";0,58;0,42
"2014";0,19;0,12
"2016";0,48;0,43
"empatia";0;0,15
"2010";0,19;0,1
"2013";0,39;0,14
"2012";0,39;0,23
"nada";1,16;0,55
"gritar";0,19;0,12
"veículo";0,48;0,38
"bar";0,1;0,13
"importante";0,1;0,71
"comprar";0,1;0,24
"contrário";0,19;0,17
"caminhão";0,39;0,17
"além";0,87;1,17
"hídrico";0;0,26
"tempo";0,96;1,17
"cuidado";0,39;0,11
"david";0;0,12
"festival";0;0,16
"guerra";0,1;0,28
"haver";2,89;3,17
"modalidade";0;0,14
"criminoso";0,1;0,26
"roberto";0,29;0,22
"legislação";0;0,11
"exército";0,29;0,17
"documento";0,19;0,17
"serviço";0,58;0,44
"trás";0,39;0,11
"marcar";0,1;0,22
"principal";0,39;0,46
"terminar";0,1;0,22
"tudo";1,93;1,32
"familiar";0;0,4
"autor";0,1;0,38
"perdido";0;0,12
"parque";0;0,24
"posse";0;0,11
"confirmar";0,77;0,2
"vídeo";1,64;0,38
"etc";0,48;0,08
"mínimo";0;0,32
"equipa";0,1;0,48
"2017";0,58;0,49
"site";0,87;0,16
"romance";0;0,13
"manancial";0;0,15
"momento";1,16;1,05
"rcifrão";0,19;0,93
"nacional";0,29;0,68
"através";1,25;0,24
"usuário";0;0,2
"crise";0;0,25
"análise";0;0,21
"sábado";0,1;0,15
"frança";0;0,23
"pernambuco";0,19;0,15
"edição";0,19;0,09
"banco";0;0,32
"dezembro";0,1;0,17
"lidar";0;0,31
"decreto";0,19;0,11
"fiscal";0,48;0,13
"abastecimento";0;0,11
"alegar";0,77;0,24
"transporte";0,1;0,12
"sambar";0;0,13
"colega";0,48;0,12
"tão";0,39;0,37
"coisa";1,45;1,14
"quarto";0,29;0,43
"rural";0,1;0,19
"aeroporto";0,48;0,1
"retirar";0,29;0,19
"afirmar";1,16;0,98
"quadrado";0;0,22
"exibir";0,19;0,2
"fogo";0,48;0,12
"hora";0,39;0,61
"interno";0,77;0,08
"total";0,1;0,2
"continuar";0,19;0,35
"custo";0;0,17
"jornalista";0,58;0,24
"ordem";0;0,17
"passado";0,1;0,56
"neto";0,39;0,3
"sensação";0,1;0,1
"teatro";0,1;0,19
"proteção";0;0,26
"contemporâneo";0;0,13
"valor";0,1;0,34
"contador";0,19;0,09
"perguntar";0,1;0,11
"promover";0,19;0,15
"carlos";0,1;0,24
"procurar";0,48;0,42
"logo";0,29;0,3
"televisão";0;0,13
"forte";0,39;0,25
"livro";0,1;0,78
"realizar";0,48;0,47
"john";0,29;0,08
"órgão";0,19;0,14
"julho";0,1;0,12
"acusar";0,68;0,16
"grave";0,19;0,17
"responder";0,1;0,26
"reserva";0,1;0,19
"prédio";0,39;0,3
"de";99,1;103,09
"propriedade";0,1;0,16
"jovem";1,06;0,8
"olhar";0,1;0,33
"sentido";0;0,24
"frequência";0,29;0,1
"dividir";0,19;0,1
"autorização";0,1;0,1
"montanha";0,1;0,12
"termo";0;0,13
"com";11,48;12,99
"jogador";0;0,4
"saída";0;0,14
"observar";0,1;0,24
"assegurar";0,19;0,15
"metade";0;0,11
"função";0;0,22
"ratton";0;0,21
"evitar";0,29;0,38
"aéreo";0,39;0,09
"aluguel";0;0,13
"depois";1,06;1,46
"recurso";0,39;0,57
"campo";0,1;0,47
"coragem";0,1;0,1
"antes";0,29;0,71
"oliveira";0;0,23
"torcer";0;0,22
"perigoso";0,19;0,09
"específico";0;0,13
"comigo";0,1;0,16
"humor";0;0,13
"josé";0,96;0,21
"queda";0,19;0,14
"questão";0,48;0,69
"moeda";0;0,12
"esposo";0,29;0,12
"conversa";0;0,17
"artigo";0,48;0,08
"prefeitura";0;0,14
"ácido";0;0,11
"ganhar";0,39;0,46
"inclusive";0,39;0,19
"esquecer";0,29;0,09
"palestra";0,1;0,15
"zona";0;0,32
"muito";2,03;2,98
"funcionar";0,19;0,22
"espécie";0,39;0,28
"doença";1,16;0,13
"aula";0;0,14
"joão";0,19;0,23
"revista";0,19;0,1
"participar";0,19;0,42
"telejornal";0;0,14
"maravilhoso";0,19;0,09
"discutir";0,19;0,14
"mudar";0,19;0,59
"participação";0,1;0,22
"ônibus";0,19;0,16
"italiano";0,48;0,2
"atriz";0,48;0,09
"market";0;0,11
"prova";0,1;0,1
"ministério";0,1;0,35
"diálogo";0;0,13
"instituição";0;0,28
"pequeno";0,29;0,52
"você";1,93;2,09
"dúvida";0;0,15
"perder";0,96;0,5
"recente";0,1;0,22
"ligar";0,29;0,22
"forma";0,1;0,85
"perda";0,19;0,26
"desde";0,58;0,81
"em";44,68;44,85
"el";0;0,11
"mulher";2,32;1,82
"eu";2,12;3,46
"precisar";0,77;0,96
"munição";0;0,16
"cara";0,29;0,17
"coletivo";0;0,12
"investimento";0;0,22
"qual";0,19;0,93
"reação";0,29;0,1
"objectivo";0,39;0,24
"deus";0,87;0,08
"disputar";0;0,11
"graça";0,19;0,14
"identificar";0,29;0,35
"verde";0;0,15
"pedreira";0;0,11
"lhe";0,19;0,12
"internacional";0,39;0,23
"ressaltar";0,1;0,24
"contar";0,96;1,56
"estar";7,82;7,54
"manifestar";0;0,19
"ambiente";0,29;0,47
"seguida";0,19;0,13
"episódio";0,1;0,17
"ambiental";0,1;0,21
"bitcoins";0;0,13
"característica";0;0,19
"vaticano";1,16;0,02
"habitante";0;0,22
"conseguir";1,83;1,15
"vista";0,29;0,25
"andamento";0;0,11
"taxa";0,19;0,2
"real";0,48;0,25
"lado";0,58;0,51
"máximo";0,1;0,13
"virar";0,1;0,19
"chefe";0,1;0,1
"central";0;0,16
"ocupar";0;0,17
"transformar";0,1;0,26
"fugir";0,1;0,17
"sexta_feira";0,1;0,14
"previdência";0;0,21
"juiz";0;0,23
"registro";0;0,14
"sucesso";0;0,17
"pior";0,1;0,12
"famoso";0,39;0,22
"correr";0,29;0,24
"inquérito";0,1;0,1
"cientista";0,29;0,1
"coordenador";0;0,21
"mundial";0,29;0,27
"música";0,39;0,25
"tradicional";0;0,14
"intenção";0,1;0,13
"governador";0;0,16
"roupa";0,1;0,11
"fé";0,1;0,1
"a";50,56;53,75
"convencer";0,1;0,11
"paulo";0,29;0,94
"demorar";0,19;0,1
"polícia";2,7;1,48
"todo";2,99;3,06
"somente";0,68;0,25
"7";0,39;0,25
"base";0,1;0,15
"suficiente";0,1;0,1
"aguardar";0,1;0,13
"brasília";0,19;0,15
"país";1,06;1,41
"fevereiro";0,1;0,12
"qualidade";0,58;0,31
"hotel";0,48;0,16
"desafio";0,1;0,15
"minha";0,48;1,02
"setor";0,58;0,21
"certo";0,29;0,44
"passo";0,19;0,16
"quem";1,06;1,15
"eletrônico";0,1;0,11
"lacovara";0;0,12
"chão";0,19;0,15
"cultura";0,29;0,31
"parecer";0,29;0,39
"morador";0,19;0,28
"século";0,19;0,12
"cotidiano";0;0,11
"pessoal";0,58;0,17
"chegar";1,64;1,28
"denúncia";0,58;0,1
"regra";0,19;0,19
"cantar";0,1;0,15
"reduzir";0,19;0,22
"acolher";0;0,12
"vilarejo";0;0,12
"saúde";1,06;0,42
"conter";0,39;0,13
"prevenção";0;0,16
"construção";0,29;0,17
"000";0,39;0,07
"escolha";0;0,11
"trabalhador";0,19;0,13
"localizar";0,58;0,21
"apresentar";0,58;0,51
"ocorrer";0,77;0,58
"informar";1,83;0,28
"marco";0;0,15
"marca";0;0,36
"popular";0;0,2
"mercadoria";0,1;0,12
"parado";0,29;0,08
"economia";0,1;0,14
"permitir";0,39;0,44
"autoridade";0,29;0,22
"gratuito";0;0,12
"rua";0,48;0,61
"tocar";0,19;0,16
"língua";0,19;0,15
"bloco";0;0,4
"70";0,1;0,12
"funcionamento";0;0,12
"legítimo";0;0,11
"sinal";0;0,13
"preocupação";0;0,2
"governo";0,48;0,66
"tamanho";0,1;0,12
"circuito";0,39;0,1
"proteger";0,1;0,15
"adulto";0,1;0,1
"lembrar";0,29;0,33
"manhattan";0;0,13
"contratar";0,29;0,12
"william";0,19;0,09
"pretender";0;0,16
"visita";0,19;0,11
"perna";0,19;0,09
"e";36,57;33
"g1";0,1;0,78
"facebook";0,39;0,07
"organização";0,1;0,19
"atacar";0,19;0,15
"acidente";0,19;0,23
"envolvido";0,1;0,16
"relacionamento";0,1;0,1
"claro";0,1;0,32
"violento";0,1;0,2
"coleta";0;0,16
"blockchain";0;0,4
"espírito";0,39;0,12
"trocar";0;0,16
"ferida";0,19;0,12
"gosto";0,19;0,19
"sessão";0;0,16
"alguém";0,48;0,2
"senhor";0,48;0,23
"modo";0,19;0,2
"globo";1,25;0,55
"causa";0,48;0,34
"jogar";0,39;0,38
"junho";0,1;0,13
"maílson";0;0,2
"único";0;0,47
"final";0,19;0,37
"mariana";0;0,15
"quando";2,61;2,33
"bem";0,58;1,33
"igreja";1,06;0,02
"mês";1,45;0,78
"sp";0,19;0,16
"cima";0,19;0,1
"tornar";0,1;0,44
"infância";0,1;0,11
"atuar";0,1;0,25
"tiro";0,39;0,16
"atual";0;0,31
"namorado";0,29;0,08
"grau";0,1;0,12
"agressor";0;0,15
"gênero";0,1;0,24
"médio";0,29;0,2
"escrever";0,77;0,37
"humano";0,87;0,32
"futebol";0,19;0,52
"luz";0,29;0,12
"frente";0,29;0,28
"aqui";0,39;0,57
"limite";0,29;0,14
"emoção";0;0,12
"paraguai";0;0,11
"chamar";0,39;0,37
"possibilidade";0,29;0,28
"iozzi";0;0,11
"espanha";0,19;0,09
"mesmo";1,35;2,01
"possível";0,29;0,7
"parte";0,77;1,08
"estado";0,87;1,56
"adorar";0,29;0,11
"temer";0,19;0,11
"físico";0,1;0,16
"40";0,19;0,28
"lauren";0;0,11
"testemunha";0,68;0,19
"vida";1,93;1,27
"aeronave";0,1;0,17
"fechar";0,19;0,2
"amplo";0;0,12
"investigar";0,1;0,2
"morrer";1,54;0,56
"motivo";0,29;0,21
"preconceito";0;0,15
"torcido";0;0,15
"usar";1,25;0,69
"ação";0;0,6
"mudo";0;0,14
"artista";0,39;0,33
"pistola";0,1;0,14
"questionar";0,1;0,2
"parede";0,19;0,09
"norte";0,48;0,27
"helicóptero";0;0,2
"começo";0;0,2
"sempre";0,58;1,05
"etapa";0;0,17
"apesar";0,19;0,25
"agir";0,1;0,11
"ingrediente";0;0,11
"benefício";0,48;0,11
"faixa";0,1;0,24
"percorrer";0;0,13
"presente";0,39;0,19
"frango";0,39;0,08
"exigir";0,1;0,17
"reforma";0,1;0,33
"utilização";0;0,16
"segurança";0,87;0,71
"sírio";0,19;0,23
"cadeia";0;0,12
"prioridade";0;0,15
"andré";0;0,14
"tipo";1,35;0,74
"ferido";0;0,13
"sobre";1,93;2,28
"água";1,06;1,46
"100";0;0,36
"acesso";0,1;0,25
"cidade";1,74;1,16
"estrutura";0,1;0,15
"morar";0,29;0,48
"moral";0;0,17
"marido";0,1;0,19
"arma";0,39;0,71
"pacto";0;0,15
"melhorar";0,1;0,21
"rio";0,39;0,89
"desfilar";0;0,11
"união";0,1;0,11
"abaixo";0,96;0,27
"nós";0,1;0,56
"titular";0;0,13
"psicológico";0,1;0,13
"alegre";0,1;0,35
"madrugada";0,58;0,11
"gente";0,29;1,29
"delegacia";0,39;0,34
"comunidade";0,19;0,32
"mensagem";0,29;0,15
"escapar";0,1;0,1
"foto";0,48;0,34
"três";0,39;0,85
"entrar";0,58;0,69
"assalto";0;0,11
"grade";0,1;0,1
"formação";0,1;0,12
"bonito";0,1;0,19
"2";0,48;0,43
"gerar";0,1;0,19
"segundo";0,58;1,7
"abril";0,19;0,09
"redação";0;0,15
"abrir";0,48;0,22
"geral";0,19;0,3
"mina";0,19;0,12
"gabriela";0;0,25
"regular";0,19;0,11
"alimento";0,68;0,15
"dor";0,1;0,2
"leitura";0,1;0,21
"delegado";0,19;0,3
"anunciar";0,1;0,17
"sozinho";0,68;0,17
"principalmente";0,58;0,21
"suspeito";0,1;0,19
"suspeita";0,19;0,12
"sair";0,68;0,84
"futuro";0,29;0,24
"falar";1,45;1,33
"apresentação";0,1;0,14
"concluir";0,19;0,16
"setembro";0;0,12
"durante";3,86;0,69
"proteína";0,39;0,07
"usado";0,39;0,45
"pista";0,1;0,35
"funcionário";0,96;0,24
"encontrar";1,16;1,11
"servir";0,68;0,21
"ir";12,93;11,14
"alimentar";0,68;0,08
"residência";0,1;0,1
"livre";0;0,22
"estadual";0;0,32
"triste";0,19;0,09
"aparecer";0,77;0,22
"produzir";0,1;0,3
"programa";0,39;0,57
"personagem";0;0,27
"conflito";0;0,19
"borges";0,19;0,09
"jornalismo";0;0,3
"esporte";0,1;0,22
"assim";0,58;0,93
"negar";0,19;0,1
"apontar";0,19;0,45
"carta";0,58;0,04
"bola";0;0,13
"aumento";0;0,11
"trabalho";1,16;1,14
"tecnologia";0,1;0,32
"erro";0;0,13
"baixo";0;0,27
"metropolitano";0;0,11
"condição";0,29;0,48
"tarde";0,29;0,27
"atividade";0,29;0,25
"produto";0,96;0,44
"digital";0;0,11
"alerta";0,39;0,11
"publicar";1,74;0,12
"russo";0,29;0,21
"captação";0;0,12
"menor";0,68;0,19
"menos";0,68;0,61
"0";0,1;0,17
"sustentável";0;0,12
"mg";0;0,16
"dia";2,51;2,08
"cozinha";0;0,11
"agosto";0;0,17
"viagem";0;0,34
"alto";1,16;0,36
"instituto";0,48;0,15
"bom";0,68;1,1
"bob";0,58;0,07
"realmente";0;0,14
"enorme";0,19;0,13
"ontem";0,58;0,09
"cérebro";0,19;0,11
"mau";0;0,12
"mal";0,29;0,24
"sofrer";0,68;0,54
"treinamento";0,1;0,1
"mais";4,73;5,84
"maio";0,1;0,16
"significar";0,29;0,09
"janeiro";0,19;0,28
"avião";0,68;0,04
"fazer";4,34;5,03
"departamento";0,1;0,13
"chave";0,39;0,13
"org";0;0,13
"acrescentar";0,19;0,11
"registrar";0,19;0,3
"atuação";0;0,13
"americano";0,96;0,14
"rachel";0;0,11
"carro";1,16;0,46
"nascimento";0;0,11
"diagnosticar";0,29;0,12
"broadcast";0;0,14
"subterrâneo";0,1;0,13
"10";0,77;0,5
"13";0,19;0,2
"12";0,48;0,31
"15";0,68;0,4
"número";0,48;0,47
"17";0,48;0,11
"16";0,19;0,16
"19";0,19;0,2
"18";0,29;0,14
"pegar";0,39;0,32
"princípio";0;0,12
"aumentar";0,29;0,19
"unidade";0;0,19
"cantor";0,77;0,2
"convidar";0,1;0,12
"interior";0,19;0,17
"200";0,19;0,22
"normal";0,19;0,16
"digno";0;0,12
"corrente";0;0,12
"show";0,29;0,26
"preciso";0;0,35
"população";0,29;0,32
"stand";0;0,15
"já";2,22;2,55
"razão";0,29;0,23
"chuva";0,1;0,11
"certeza";0,29;0,12
"proposta";0,1;0,19
"achar";0,48;1,03
"quadro";0;0,13
"crescimento";0,1;0,21
"garoto";0,19;0,1
"arte";0,1;0,57
"acre";0,29;0,09
"família";0,77;1,76
"partida";0;0,16
"quatro";0,19;0,37
"paz";0,19;0,1
"pai";0,96;0,94
"então";0,77;0,95
"necessariamente";0;0,11
"perto";0,39;0,3
"4";0,29;0,3
"viver";0,87;0,9
"imagem";1,74;0,39
"vário";1,35;0,49
"compreender";0,19;0,1
"atender";0,1;0,25
"sambalanço";0;0,11
"empresa";1,74;1,32
"pessoa";3,57;2,81
"responsabilidade";0;0,11
"cão";0,77;0,03
"advogado";0,29;0,31
"interesse";0;0,16
"universidade";0,19;0,22
"11";0,29;0,27
"nível";0;0,2
"gol";0;0,19
"papelão";0;0,16
"vila";0,19;0,21
"viajar";0,1;0,1
"14";0,19;0,21
"fuzil";0;0,32
"clássico";0;0,2
"decisão";0,1;0,23
"exemplo";0,19;0,92
"comprovar";0,1;0,1
"dificuldade";0,1;0,34
"prever";0,58;0,21
"roubo";0;0,11
"incluir";0,48;0,3
"criatividade";0;0,16
"dez";0;0,4
"ocorrência";0,1;0,16
"morto";0,58;0,63
"morte";1,06;0,6
"pleno";0,29;0,08
"distribuir";0;0,2
"carreira";0;0,27
"sistema";0,29;0,76
"discussão";0,1;0,33
"celular";0,39;0,12
"24";0,29;0,28
"25";0;0,21
"27";0,1;0,14
"20";0,77;0,56
"21";0,77;0,21
"22";0,19;0,3
"23";0,1;0,16
"pena";0,29;0,2
"respeito";0;0,16
"completar";0,29;0,19
"porto";0,29;0,35
"porta";0,39;0,15
"visitar";0,1;0,13
"prefeito";0;0,21
"britânico";0,29;0,24
"analisar";0,1;0,12
"verdade";0;0,4
"secretaria";0;0,24
"piloto";0;0,33
"comando";0,1;0,1
"cada";0,39;0,98
"jogo";0,39;0,59
"dono";0,39;0,2
"retornar";0,29;0,09
"importância";0;0,14
"para";13,61;14,98
"park";0,1;0,16
"conhecer";0,87;0,52
"esgoto";0,1;0,22
"essa";1,16;1,68
"esse";0,96;2,03
"permanecer";0,1;0,16
"km";0,1;0,15
"carne";1,54;0,48
"obstáculo";0;0,13
"sustentar";0,29;0,09
"ruim";0,29;0,13
"depender";0;0,28
"8";0,29;0,22
"meio";0,48;1,17
"restaurante";0,19;0,2
"tender";0,29;0,22
"filho";1,83;1,38
"andar";0,58;0,36
"parar";0,39;0,24
"repetir";0;0,13
"declarar";0,58;0,09
"busca";0,29;0,22
"entre";1,64;1,72
"verificar";0,19;0,12
"alternativo";0,1;0,1
"atentado";0;0,27
"comportamento";0,58;0,22
"cuja";0;0,13
"endereço";0,19;0,11
"distribuição";0;0,12
"mostrar";1,16;0,91
"assédio";0,68;0,19
"energia";0,39;0,15
"eliminar";0;0,12
"300";0,1;0,11
"fechado";0,29;0,17
"acompanhar";0,48;0,27
"aquilo";0,1;0,24
"financeiro";0;0,21
"poder";4,25;4,05
"exposição";0;0,17
"dinheiro";0,87;0,37
"significativo";0,1;0,14
"produtor";0,1;0,22
"papa";0,77;0,02
"representar";0;0,25
"malandro";0,1;0,1
"2004";0;0,11
"2008";0,58;0,07
"manter";0,48;0,4
"básico";0,19;0,16
"mecanismo";0;0,13
"geração";0;0,21
"depoimento";0,48;0,1
"totalmente";0,29;0,09
"operação";0,19;0,33
"entender";0,1;0,51
"escola";0;0,91
"apresentador";0,77;0,13
"década";0;0,21
"luiz";0,39;0,11
"32";0;0,13
"31";0,19;0,11
"30";0,1;0,43
"entanto";0,19;0,32
"preservação";0;0,16
"presidente";0,29;0,36
"força";0,1;0,27
"chamado";0,68;0,37
"perceber";0,48;0,31
"caminho";0,1;0,28
"julgamento";0,19;0,1
"valer";0;0,35
"conferir";0,48;0,11
"ideia";0,29;0,57
"guariroba";0;0,32
"falta";0,29;0,35
"redução";0,1;0,13
"unido";0,29;0,34
"paulista";0;0,11
"tso";0;0,13
"eua";0,77;0,15
"versão";0,19;0,14
"criminal";0,1;0,11
"camus";0;0,25
"dan";0;0,15
"vencer";0;0,17
"dar";2,41;1,81
"quê";0,1;0,13
"atendimento";0,1;0,16
"sexual";0,19;0,14
"mato";0,1;0,14
"que";35,12;34,36
"compra";0,29;0,17
"atenção";0,1;0,14
"ameaçar";0,1;0,11
"próximo";0,39;0,49
"transação";0;0,19
"negro";0,19;0,2
"respeitar";0,19;0,1
"cabeça";0,29;0,32
"atitude";0,1;0,14
"mim";0,29;0,31
"milhão";0,87;0,47
"experiência";0,19;0,24
"seguro";0,39;0,21
"bunuel";0;0,21
"controlo";0,19;0,23
"normalmente";0,1;0,11
"grosso";0,1;0,15
"fator";0,1;0,12
"bruno";0,68;0,16
"agora";0,96;0,62
"terça_feira";0,1;0,1
"utilizar";0,19;0,42
"manhã";0,48;0,16
